wd|geo|site|country|county|insc
Q70892272|53.4855556,-9.316944444444443|Q85390377|Q27|Q169923|LIE LUGUAEDON MACCI MENUEH
Q70892276|53.8163889,-7.870555555555556|Q85390407|Q27|Q107397|QENUVEN...
Q70892278|53.7816667,-8.805000000000001|Q85390382|Q27|Q178626|CUNALEGI AVI QUNACANOS
Q70899515|53.7736111,-8.765555555555556|Q72006009|Q27|Q178626|LUGADDON MAQI LUGUDEC DDISI MO[...]CQU S(?)EL
Q70899516|53.8961111,-8.665277777777778|Q85390384|Q27|Q178626|ALATTOS MAQI BR...
Q70892286|53.7286111,-8.709444444444443|Q85390409|Q27|Q178626|QASIGN[i] MAQ[I]
Q70899519|54.0744444,-9.08388888888889|Q85390388|Q27|Q178626|....MA]Q CERAN[I] AVI ATHECETAIMIN
Q70892288|53.7463889,-9.870000000000001|Q85390429|Q27|Q178626|]OVI
Q70892292|54.2602778,-9.330833333333333|Q85390391|Q27|Q178626|MAQ-ACTO MAQ GAR[... MAQI MUCOI Z]
Q70892302|54.2486111,-9.248055555555554|Q85390394|Q27|Q178626|L[E]GG               SD[...]LEŋESCAD MAQ CORRBRI MAQ AMMLLOŋITT
Q70892303|53.84,-8.362222222222222|Q85390417|Q27|Q179437|CUNOVATO
Q70892306|53.8075,-8.297777777777778|Q85390711|Q27|Q179437|VRAICCI MAQI MEDVVI
Q70899521|53.8075,-8.297777777777778|Q85390711|Q27|Q179437|QREGAS MU[...
Q70899522|52.6316667,-6.956388888888889|Q85391730|Q27|Q181882|n/a
Q70892312|52.8263889,-6.573611111111111|Q85391717|Q27|Q181882|RENI
Q70899524|52.7819444,-6.716666666666667|Q85391648|Q27|Q181882|DUNAIDONAS MAQI MARIANI
Q70892316|52.8480556,-6.727222222222222|Q85391650|Q27|Q181882|MUCOI MUCC[I
Q70892318|53.4197222,-6.152500000000001|Q85391732|Q27|Q173500|S   B           N                   GL T  DM...
Q70899528|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|OVANOS AVI IVACATTOS
Q70892328|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|MAQI-DDECCEDA MAQI MARIN
Q70899529|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|.....]MAQQI COLLABOTA
Q70899530|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|...EGNI KOI MAQI MUC[OI] A[L]I[NI]
Q70899537|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|AV*S*S*MAQV*S
Q70899538|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|UR
Q70899541|53.0311111,-6.756388888888889|Q85391762|Q27|Q173500|LA
Q70899544|53.3752778,-6.551111111111111|Q85391654|Q27|Q173332|NETTAVRECC [KOI?] MAQI MUCCOI TRENALUGGO
Q70892342|52.76,-7.524444444444445|Q85391701|Q27|Q173332|CNAEMSECH CELLACH MINODOR MUAD MAELMAIRE MAELUADAIG MALMAIRE
Q70892353|52.6513889,-7.150555555555556|Q85391656|Q27|Q180231|TASEGAGNI [MAQ]I MUCOI MACORBO
Q70892354|52.6177778,-7.1722222222222225|Q85391719|Q27|Q180231|BRAN[I]TTAS M[A]QI DUCR[I]DDA
Q70892357|52.6177778,-7.1722222222222225|Q85391719|Q27|Q180231|NAVALLO AVVI GENITTAC[...
Q70892359|52.5188889,-7.036388888888888|Q85391658|Q27|Q180231|DRUGNO MAQI MUCOI [....] NAMI
Q70892361|52.6325,-7.066111111111111|Q85391704|Q27|Q180231|MAQI-ERACIAS MAQI DIMAQA MUCO[I....
Q70892363|52.5425,-6.958055555555556|Q85391660|Q27|Q180231|n/a
Q70892365|52.5386111,-7.158611111111111|Q85391706|Q27|Q180231|LOBBI KOI MAQQI MUCCOI RINI
Q70892367|52.5775,-7.121388888888888|Q85391735|Q27|Q180231|VIR...
Q70892369|52.4438889,-7.360833333333333|Q85391666|Q27|Q180231|SEVERRIT [MAQI MUCOI RO]TTAIS
Q70892376|52.4438889,-7.360833333333333|Q85391666|Q27|Q180231|DOVATUCI [A]VI TULOTANAGIA
Q67510124|52.4719444,-7.231111111111111|Q69378747|Q27|Q180231|CORBI KOI MAQI LABRID [...
Q70892378|53.845,-6.476666666666667|Q85391668|Q27|Q180231|BRANOGENI
Q70892380|53.6733333,-6.559166666666666|Q85391671|Q27|Q183539|MAQI-CAIRATINI AVI INEQAGLAS
Q70892381|53.7358333,-6.96|Q85391673|Q27|Q183544|COVAGNI MAQI MUCOI LUGUNI
Q70892382|52.2505556,-6.720555555555555|Q85391707|Q27|Q183544|n/a
Q70892386|52.1173,-6.6177|Q85391722|Q27|Q184599|LONAMNI AVI BARI
Q70892388|52.2152778,-6.4275|Q85391675|Q27|Q184599|IARNI
Q70892390|52.5436111,-6.530277777777778|Q85391677|Q27|Q184599|n/a
Q70892393|52.1613889,-6.887777777777777|Q85391680|Q27|Q184599|SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC
Q70892399|52.9091667,-6.063611111111111|Q85391708|Q27|Q184599|NETA-CARI NETA CAGI
Q70892402|53.0169444,-6.617777777777778|Q85391710|Q27|Q182591|IAQINI KOI MAQI MUC ....
Q70892404|52.9663889,-6.624444444444445|Q85391683|Q27|Q182591|..CCI MAQ..INI..
Q70892406|53.9469444,-6.608888888888888|Q85391685|Q27|Q182591|VOTI
Q70892409|52.9980556,-6.535|Q85391711|Q27|Q182591|MAQI NILI
Q70892410|53.0222222,-9.063611111111111|Q85393909|Q27|Q182591|n/a
Q70892412|52.8463,-8.9807|Q85394775|Q27|Q181862|ATUCMLU
Q70892414|52.8033333,-8.447777777777778|Q85393912|Q27|Q181862|[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]
Q70892416|51.7330556,-9.28361111111111|Q85394096|Q27|Q181862|ANM SAINA MAQ OGALA MUCOI TEMOCA
Q70892424|52.0680556,-8.599444444444446|Q85393991|Q27|Q162475|SAGITTARI
Q70892427|52.0811111,-8.601944444444444|Q72006007|Q27|Q162475|TRENU MAQI MUCOI QRITTI
Q70892430|52.0811111,-8.601944444444444|Q72006007|Q27|Q162475|CATTUBUTTAS MAQ[...
Q70892431|52.0102778,-8.453333333333333|Q85393914|Q27|Q162475|]UIVAIBES ]RTAGNI
Q70892434|52.0102778,-8.453333333333333|Q85393914|Q27|Q162475|MAILAGN(I)
Q70885730|52.0086111,-8.360555555555555|Q85393915|Q27|Q162475|OLAGNI MAQ[...
Q70892436|51.9808333,-8.452777777777778|Q85393918|Q27|Q162475|DOCRANORI
Q70885723|51.9694444,-8.175555555555555|Q85393995|Q27|Q162475|COLOMAGNI AVI DUCURI BRUSCO MAQI DOVALESCI
Q70892438|51.9694444,-8.175555555555555|Q85393995|Q27|Q162475|LODIMONI
Q70892442|52.0052778,-8.24611111111111|Q85393922|Q27|Q162475|LOGA MAQI SDANBI
Q70892444|51.7122222,-9.935277777777777|Q85393998|Q27|Q162475|MAQI-DECCEDDAS AVI TURANIAS
Q70892450|51.6288889,-9.981666666666667|Q85394098|Q27|Q162475|CARI
Q70892452|51.7275,-9.711944444444443|Q85394111|Q27|Q162475|LUGUQRIT [.........] LONAS
Q70892453|51.6788889,-8.846944444444444|Q85394002|Q27|Q162475|GIRAGNI
Q70892457|51.6788889,-8.846944444444444|Q85394002|Q27|Q162475|CUNAGUSOS MAQi MUCOI VIRAGNI
Q70892459|51.6788889,-8.846944444444444|Q85394002|Q27|Q162475|COIMAGNI MAQI MOCOI GA...
Q70892460|51.7708333,-9.088055555555556|Q85394004|Q27|Q162475|UBEDABO ALTASI
Q70892463|51.6883333,-8.95611111111111|Q85393926|Q27|Q162475|DOMNGEN
Q70892466|51.6883333,-8.95611111111111|Q85393926|Q27|Q162475|CONANN M[AQI] S...
Q70892468|51.7594444,-9.185833333333333|Q85393928|Q27|Q162475|ANM CASONI [MAQ]I RODAGNI
Q70892474|51.645,-8.893055555555556|Q85394006|Q27|Q162475|ANM TENAS MACi V[...
Q70892476|51.5777778,-9.0125|Q85393931|Q27|Q162475|n/a
Q70892478|51.9577778,-8.539722222222222|Q85394074|Q27|Q162475|n/a
Q70892481|51.9772222,-8.075555555555555|Q85393934|Q27|Q162475|ELUNA MU[C...
Q70892484|51.9772222,-8.075555555555555|Q85393934|Q27|Q162475|[M]
Q69385424|51.8163889,-8.761666666666667|Q69385525|Q27|Q162475|C[A]SSITT[A]S MAQI MUCOI CALLITI
Q70892485|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|MAILAGURO MAQ[I...]VILEB[...
Q70885704|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|LAMADILICCI MAC MAIL BROCC
Q70892488|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|ERACOBI MAQI ERAQETAI
Q70885695|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|GRILAGNI MAQI SCILAGNI
Q70885716|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|CLIUCOANAS MAQI MAQI-RENI
Q70885698|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|DRUTIQULI MAQI MAQI-RODAGNI
Q70885720|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|BRANAN MAQI OQOLI
Q70885690|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|BOGAI MAQI BIRACO
Q70885712|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|CRONUN MAC BAIT
Q70892490|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|BLATEGSI
Q70885713|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|ACTI MAQI [.....MAGO.
Q70885692|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|ERCAIDANA
Q70885706|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|DOMMO MACI VEDUCERI
Q70885703|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|NAM MEDDOGENI
Q70885697|52.0269444,-8.071111111111112|Q85394270|Q27|Q162475|COVALOTI
Q70892493|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|...]LL MAQI VORRTIGURN DOIBI
Q70892498|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|CORBAGNI K[OI] M[A]Q[I] MOCCOI COROTANI
Q70892501|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|SACATTINI
Q70892504|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|AB ULCCAGNI
Q70892506|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|MAQI-ESEA MAQI DOMANEQI
Q70892509|51.8386111,-8.608333333333333|Q85394010|Q27|Q162475|DILOGONN
Q69377850|52.0158333,-8.818333333333333|Q69378412|Q27|Q162475|CARRTTACC GAQI MU CAGG[I]
Q70892510|51.9558333,-8.823888888888888|Q85394077|Q27|Q162475|ANM CORRE MAQVI UDD[GLO]METT
Q70885728|51.9558333,-8.823888888888888|Q85394077|Q27|Q162475|ANM NETACUNAS CELI VIDETTAS
Q70892513|51.9408333,-8.887777777777778|Q85393938|Q27|Q162475|[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI
Q70885727|51.9911111,-8.866111111111111|Q85394126|Q27|Q162475|CUNAGUSSOS MA[...
Q70892516|51.9875,-8.81|Q85394079|Q27|Q162475|LUGUDUC MAQI MAQI-OC [...
Q70892518|51.9855556,-8.789444444444444|Q85394014|Q27|Q162475|UDDMENSA CELI NETTASLOGI
Q70892523|51.9575,-8.83888888888889|Q85393940|Q27|Q162475|B..Q.....HAGA......DL
Q70892526|51.9575,-8.83888888888889|Q85393940|Q27|Q162475|LUDUDECA MAQU SI[TT?]ALI MUCOI M...
Q70885739|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|MICANAVVI MAQ LUGUNI
Q70382440|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|VEQIKAMI MAQI LUGUNI
Q70885736|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|GRIMIGGN[I MAQ]I CERC...
Q69383434|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|CULRIGAI MAQI MENUMAQ[I]
Q70382438|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|BRANI MAQQI MUCC[OI......]R[A]L[...
Q69385241|51.8680556,-8.794722222222221|Q69383268|Q27|Q162475|COLLOS
Q70892527|51.9744444,-8.779444444444445|Q85394081|Q27|Q162475|VEQREQ MUCOI GLUNLEGGET TENREN MONOI GDUQDEGGEV
Q70892531|51.9744444,-8.779444444444445|Q85394081|Q27|Q162475|DALAGNI MAQI DALI
Q70892533|51.9744444,-8.779444444444445|Q85394081|Q27|Q162475|BROINIENAS KOI NETA TTRENALUGOS.
Q70892534|51.9744444,-8.779444444444445|Q85394081|Q27|Q162475|VERGOSO MACI LLOMINACCA.
Q70892536|51.9708333,-8.829444444444444|Q85394114|Q27|Q162475|MADORA MAQI DEGO
Q70892539|51.9708333,-8.829444444444444|Q85394114|Q27|Q162475|MAQI-BRI.....CELI ALACA...
Q70892540|51.8866667,-8.784166666666666|Q85394017|Q27|Q162475|ANAVLAMATTIAS MUCCOI [..]OELURI AVI AKERAS
Q70892545|51.8866667,-8.784166666666666|Q85394017|Q27|Q162475|MAQI-ERCIAS MAQI VALAMNI
Q70892549|51.8866667,-8.784166666666666|Q85394017|Q27|Q162475|VEDACUNA [MAQI] TOBIRA MUCOI SOGINI
Q70885722|51.9463889,-8.757222222222222|Q85394019|Q27|Q162475|MAQILASPOG B TTMACDE
Q70885734|52.0075,-8.909166666666668|Q85393943|Q27|Q162475|DOVETI MAQI LOCARENAS CELI MAQI-CULIDOVI
Q70892550|51.5086111,-9.02638888888889|Q85393945|Q27|Q162475|VEQOANAI MAQI EQOD[..
Q70892553|52.0666667,-8.928055555555554|Q85393948|Q27|Q162475|SECIDARI
Q70892555|51.8494444, -9.115|Q85394021|Q27|Q162475|LITUBIRI MAQI QECIA
Q70892556|51.8494444, -9.115|Q85394021|Q27|Q162475|LACAVAGNI
Q70892558|51.8494444, -9.115|Q85394021|Q27|Q162475|VAITEVIA
Q70892561|51.8283333,-9.228055555555555|Q85394084|Q27|Q162475|ASSICONA
Q70892563|51.9261111,-9.08388888888889|Q85394128|Q27|Q162475|MINNACCANNI MAQI AILLUATTAN
Q70892567|52.3288889,-9.772777777777778|Q85394024|Q27|Q162475|CT[A]N ... QLOG
Q70892569|52.3627778,-9.724166666666667|Q85394087|Q27|Q184469|ANM VEDLLOIGGOI MACI SEDDOINI
Q70892572|52.1294444,-10.17611111111111|Q85393952|Q27|Q184469|LADDIGNI MAQQI MUCCOI AN...
Q70892574|52.1294444,-10.17611111111111|Q85393952|Q27|Q184469|LAIDANN MAQI MACORBO
Q70892577|52.1294444,-10.17611111111111|Q85393952|Q27|Q184469|LUGUVVECCA MAQI[...
Q70892578|52.1330556,-10.138055555555555|Q85393955|Q27|Q184469|MAQI MQ[I-...O]GGODIKA.
Q70892582|52.1330556,-10.138055555555555|Q85393955|Q27|Q184469|...] CELI AVI VU[..
Q70892584|52.1591667,-10.063055555555556|Q85394130|Q27|Q184469|TAQMAQO
Q70892586|52.1430556,-10.049166666666666|Q85394026|Q27|Q184469|DITAV
Q70892592|52.2675,-10.236944444444443|Q85394028|Q27|Q184469|QRIMITIR RON[A]NN MAQ COMOGANN
Q70892594|52.1666667,-10.382222222222223|Q85393959|Q27|Q184469|LUGUQRIT MA[QI] QRITT[I]
Q70892598|52.1405556,-10.2075|Q85393961|Q27|Q184469|MOINENA MAQI OLACON
Q70892599|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|DUBONIRRAS MAQQI TENAC[I]
Q70892602|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|MQQI-QETTI MAQQI CUNITTI
Q70892604|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|GRAVICAS MAQI MUCOI DOVVINIAS
Q70892606|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|BROINIOAS
Q70892609|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|LUBBAIS MAQQI DUN....S
Q70892611|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|CCUCAMINI MAQQI CATTINI
Q85409935|52.1761111,-10.386111111111111|Q85394310|Q27|Q184469|CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S
Q70892616|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|AKEVRITTI
Q70892620|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS
Q70892623|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|DOVETI MAQQi CATTINI
Q70892626|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|SUVALLOS MAQQI DUCOVAROS
Q70892629|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|MAQI - DECCEDA MAQI GLASICONAS
Q70892630|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|TRIA MAQA MAILAGNI CURCITTI
Q70892632|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|INISSIONAS
Q70892635|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|CUNAMAQQI AVI CORBBI
Q70892636|52.1725,-10.031111111111112|Q85393964|Q27|Q184469|NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S
Q70892643|52.1552778,-10.03138888888889|Q85395620|Q27|Q184469|VOENACUNAS M....
Q70892646|52.1552778,-10.03138888888889|Q85395620|Q27|Q184469|[D]DROGNO
Q70892648|52.1869444,-10.159444444444444|Q85395552|Q27|Q184469|COIMAGNI MAQI VITALIN
Q70892652|52.1658333,-10.0375|Q85395515|Q27|Q184469|.. [MAQ]I DROGNO MU[COI] ...
Q70892653|52.1658333,-10.0375|Q85395515|Q27|Q184469|IRCCITOS
Q70892655|52.1605556,-10.323333333333332|Q85395517|Q27|Q184469|MAQI - LIAG MAQI ERCA
Q70892659|52.1513889,-10.3275|Q85395592|Q27|Q184469|QENILOCI MAQI MAQI - AINIA MUC[---
Q70892660|52.1875,-10.029722222222222|Q85395518|Q27|Q184469|DUGENNGG[I] MAQI RODDOS
Q70892662|52.1558333,-10.400833333333333|Q85395519|Q27|Q184469|TOGITTACC MAQI SAGARETTOS
Q70892669|52.1469444,-10.036388888888888|Q85395554|Q27|Q184469|[MAQ]QI MUCC[OI]
Q70892670|52.1869444,-10.159444444444444|Q85395555|Q27|Q184469|n/a
Q70892674|52.1258333,-10.306944444444445|Q85395594|Q27|Q184469|MAQQI-ERCCIAS MAQQI MUCOI DOVINIA
Q70892676|52.215,-9.910277777777779|Q85395556|Q27|Q184469|CONUNETT MOQI CONURI.
Q70892679|52.215,-9.910277777777779|Q85395556|Q27|Q184469|CCILARI AV[I].....COI VAG....
Q70892682|52.1119444,-10.458333333333332|Q85395557|Q27|Q184469|ERC MAQI MAQI-ERCIAS MU DOVINIA
Q70892683|52.14,-10.270000000000001|Q85395597|Q27|Q184469|......ETORIGAS
Q70892686|52.1330556,-10.228055555555555|Q85395559|Q27|Q184469|BRUSCCOS MAQQI CALIACI[AS] M[AQQI MUCOI...
Q70892689|52.1352778,-10.270555555555557|Q85395521|Q27|Q184469|TALAGNI MAQ....
Q70892693|52.1869444,-10.159444444444444|Q85395522|Q27|Q184469|GANICCA
Q70892695|52.1033333,-10.437222222222223|Q85395523|Q27|Q184469|n/a
Q70892699|52.1408333,-10.126666666666667|Q85395524|Q27|Q184469|MAQQI-DECEDDA MAQQI CATUVIQ[QA]
Q70892701|52.0444444,-10.607777777777777|Q85395526|Q27|Q184469|[CO?]BB[A?] AVI VLATIAMI MAQ...
Q70892704|52.1533333,-10.300555555555556|Q85395599|Q27|Q184469|EQODDI SCI FINTEN
Q70892706|52.1883333,-10.333055555555555|Q85395528|Q27|Q184469|ANM MAILE-INBIR MACI BROCANN
Q70892708|52.1205556,-10.194444444444445|Q85395530|Q27|Q184469|MARIANI
Q70892711|52.1205556,-10.194444444444445|Q85395530|Q27|Q184469|SAŊTI LLOTETI AVI SRUSA.
Q70892714|52.1358333,-10.124722222222223|Q85395562|Q27|Q184469|GOSSUCTTIAS
Q70892719|52.1358333,-10.124722222222223|Q85395562|Q27|Q184469|GAMICUNAS
Q70892722|52.2519444,-10.023333333333333|Q85395622|Q27|Q184469|QENILOCGNI MAQI D...
Q70892725|52.1447222,-10.359444444444444|Q85395564|Q27|Q184469|ANM COLMAN AILITHIR
Q70892726|52.1677778,-10.024444444444445|Q85395627|Q27|Q184469|SIDANI MAQI DALO
Q85409967|52.1677778,-10.024444444444445|Q85395627|Q27|Q184469|LLONNOCC MAQQ[...
Q70892731|52.1725,-9.990555555555554|Q85395567|Q27|Q184469|CURCI MAQI MUCOI V[...
Q70892732|52.1725,-9.990555555555554|Q85395567|Q27|Q184469|ERCAVICCAS MAQI CO[...
Q70892734|52.0611111,-9.642777777777777|Q69379704|Q27|Q184469|DEGOS MAQI MOCOI TOICAKI
Q70892738|52.0611111,-9.642777777777777|Q69379704|Q27|Q184469|MAQI-RITEAS MAQI MAQI-DDUMILEAS MUCOI TOICACI
Q70892739|52.0611111,-9.642777777777777|Q69379704|Q27|Q184469|CUNACENA
