"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"
"10. Breastagh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390394"|"Q178626"|"LGG SDLENGESCAD MAQ CORRBRI MAQ AMMLLONGITT"|"10. Breastagh"
"100. Ballyhank IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"AB ULCCAGNI"|"100. Ballyhank IV"
"101. Ballyhank V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"MAQI-ESE/A MAQI DOMANE/QI"|"101. Ballyhank V"
"102. Ballyhank VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"DILOGONN"|"102. Ballyhank VI"
"1083. Rathkenny I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"COMMAGGAGNI MUCOI/ ISAMMNN"|"1083. Rathkenny I"
"1084. Rathkenny II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"OLISSEGVOG"|"1084. Rathkenny II"
"11. Drummin I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390417"|"Q179437"|"CUNOVATO"|"11. Drummin I"
"118. Monataggart I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"VEQREQ MOQOI GLUNLEGGET"|"118. Monataggart I"
"119. Monataggart II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"DALAGNI MAQI DALI"|"119. Monataggart II"
"12. Rathcroghan I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390711"|"Q179437"|"VRAICCI/ MAQI MEDVVI"|"12. Rathcroghan I"
"120. Monataggart III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"BROINIENAS KOI NETTA-TTRENALUGOS"|"120. Monataggart III"
"13. Rathcroghan II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390711"|"Q179437"|"MAQ REGAS MUCOI"|"13. Rathcroghan II"
"136. Ardfert I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394024"|"Q184469"|"CTAN/QLOG"|"136. Ardfert I"
"141. Aglish I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393955"|"Q184469"|"MAQI MAQI/OGGODIKA"|"141. Aglish I"
"142. Aglish II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393955"|"Q184469"|"CELI AVI VUD?"|"142. Aglish II"
"145. Arraglen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394028"|"Q184469"|"QRIMITIR RO/NA/NN MAQ COMOGANN"|"145. Arraglen"
"146. Ballineanig (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393959"|"Q184469"|"LUGUQRIT MAQI/ QRITTI"|"146. Ballineanig"
"147. Ballineesteenigh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393961"|"Q184469"|"MOINENA MAQI OLACON"|"147. Ballineesteenigh"
"15. Clonmore (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391717"|"Q181882"|"RENI"|"15. Clonmore"
"150. Ballinrannig III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394310"|"Q184469"|"GRAVICAS MAQI MUCOI/ DOVVINIAS"|"150. Ballinrannig III"
