filename|uuid|transliteration|ogham|translation|ciic|o3d|label|townland|barony|geom_found|geom_orig|geom_lastrecorded|webgis
4._Kilmannin.xml|f5433f22d754|LUGADDON MAQ̣/I LUGU/DEC DDISI/ MO ... C̣QUṢ/EL|      ᚂᚒᚌᚐᚇᚇᚑᚅ    ᚋᚐᚊᚔ  ᚂᚒᚌᚒᚇᚓᚉ  ᚇᚇᚔᚄᚔ  ᚋᚑᚉᚊᚒᚄᚓᚂ|Of Lugáed son of Luguid|4|4._Kilmannin|CIIC 4. Kilmannin|Kilmannin|Costello|-8.765218,53.773045||-6.254558,53.340408|MA093-045003-|
10._Breastagh.xml|7533b54336e3|Dexter angle: L ... G̣G̣ ... SD ... LENGẸṢCẠ[D] Sinister angle: MAQ CORRBṚI MAQ AMMLLỌṆG̣[I]ṬT|ᚇᚓᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚂᚌᚌ  ᚄᚇᚂᚓᚅᚌᚓᚄᚉᚐᚇ    ᚄᚔᚅᚔᚄᚈᚓᚏ  ᚐᚅᚌᚂᚓ    ᚋᚐᚊ  ᚉᚑᚏᚏᚁᚏᚔ    ᚋᚐᚊ  ᚐᚋᚋᚂᚂᚑᚅᚌᚔᚈᚈ   |... son of Coirpre son of Amalgaid|10|10._Breastagh|CIIC 10. Breastagh|Breastagh|Tirawley|-9.254148, 54.246617|||MA015-018001-|
11._Drummin_I.xml|4e1132e300d6|CUṆ[OV]ATO|  ᚉᚒᚅᚑᚃᚐᚈᚑ   |nan|11|11._Drummin_I|CIIC 11. Drummin I|Drummin|Castlereagh|-8.369881, 53.834383|||RO015-051001-|
12._Rathcroghan_I.xml|292b2ab37452|nan|nan|nan|12|12._Rathcroghan_I|CIIC 12. Rathcroghan I|Glenballythomas|Castlereagh|-8.310399, 53.797323|||RO022-057030-|
13._Rathcroghan_II.xml|83161eee0d3a|nan|nan|nan|13|13._Rathcroghan_II|CIIC 13. Rathcroghan II|Glenballythomas|Castlereagh|-8.310399, 53.797323|||RO022-057084-|
15._Clonmore.xml|501c88f2607a|nan|nan|nan|15|15._Clonmore|CIIC 15. Clonmore|Glebe|Rathvilly|-6.570066,52.827385|||CW009-028021-|
16._Rathglass.xml|9c09281c7e27|nan|nan|nan|16|16._Rathglass|CIIC 16. Rathglass|Rathglass|Rathvilly|-6.720154, 52.784779|||CW013-018001-|
17._Tuckamine.xml|b17a6241bf11|nan|nan|nan|17|17._Tuckamine|CIIC 17. Tuckamine|Tuckamine|Rathvilly||-6.729169,52.843555|-6.254558,53.340408|CW003-023----|
19._Colbinstown_I.xml|8166cb89a3a3|nan|nan|nan|19|19._Colbinstown_I|CIIC 19. Colbinstown I|Killeen Cormac||-6.760943, 53.028577||-6.254558,53.340408|KD032-044001-|
20._Colbinstown_II.xml|d388f9a43557|nan|nan|nan|20|20._Colbinstown_II|CIIC 20. Colbinstown II|Killeen Cormac|Colbinstown|-6.761020, 53.028337||-6.254558,53.340408|KD032-044002-|
22._Colbinstown_IV.xml|b52172b0b8b6|nan|nan|nan|22|22._Colbinstown_IV|CIIC 22. Colbinstown IV|Killeen Cormac|Colbinstown|-6.761012, 53.028493|||KD032-044004-|
23._Colbinstown_V.xml|2769b32932dc|nan|nan|nan|23|23._Colbinstown_V|CIIC 23. Colbinstown V|Killeen Cormac|Colbinstown|-6.760801, 53.028514|||KD032-044005-|
25._Colbinstown_VII.xml|340acd6ed5ef|nan|nan|nan|25|25._Colbinstown_VII|CIIC 25. Colbinstown|Killeen Cormac|Colbinstown|-6.760951, 53.028323|||KD032-044007-|
26._Donaghmore.xml|fbc0280fb0ed|nan|nan|nan|26|26._Donaghmore|CIIC 26. Donaghmore|Donaghmore|North Salt|-6.552921, 53.377091||-6.254558,53.340408|KD006-005002-|
28._Churchclara_I.xml|dd54c7ab4159|nan|nan|nan|28|28._Churchclara_I|CIIC 28. Churchclara I|||-7.145972, 52.655460|||KK020-017003-|
31._Fiddaun_Upper.xml|3aa498d60686|nan|nan|nan|31|31._Fiddaun_Upper|CIIC 31. Fiddaun|Fiddaun Upper|Gowran|-7.037871, 52.522596|||KK029-020----|
32._Gowran.xml|2a5adb759cf0|nan|nan|nan|32|32._Gowran|CIIC 32. Gowran|||-7.064559, 52.628962|||KK020-060007-|
34._Legan.xml|4384fdeb4d93|nan|nan|nan|34|34._Legan|CIIC 34. Legan|Legan|Gowran|-7.162888, 52.534804|||KK028-026002-|
35._Tullaherin_I.xml|2a3617ae3fa3|nan|nan|nan|35|35._Tullaherin_I|CIIC 35. Tullaherin I|||-7.129917, 52.579293|||KK024-062005-|
36._Lamoge_I.xml|ae4c8c51c307|nan|nan|nan|36|36._Lamoge_I|CIIC 36. Lamoge I|Lamoge|Kells|-7.365943, 52.446598|||KK034-013003-|
37._Lamoge_II.xml|311409ff69d7|nan|nan|nan|37|37._Lamoge_II|CIIC 37. Lamoge II|Lamoge|Kells|-7.365943, 52.446598|||KK034-013004-|
38._Ballyboodan.xml|b0a9373f3e1b|nan|nan|nan|38|38._Ballyboodan|CIIC 38. Ballyboodan|Ballyboodan|Knocktopher|-7.222584, 52.470256|||KK031-058----|
40._Painestown.xml|cc0babeca6e8|nan|nan|nan|40|40._Painestown|CIIC 40. Painestown||Duleek Lower|-6.565704,53.667656||-6.254558,53.340408|ME026-009----|
46._Houseland.xml|bb7640823cda|nan|nan|nan|46|46._Houseland|CIIC 46. Houseland|Portersgate|Shelburne|-6.889553, 52.151461||-6.254558,53.340408|WX054-004----|
47._Castletimon.xml|a54086715573|nan|nan|nan|47|47._Castletimon|CIIC 47. Castletimon|Castletimon|Arklow|-6.071241, 52.904532|||WI036-010----|
48._Donard.xml|2d7e35209124|nan|nan|nan|48|48._Donard|CIIC 48. Donard|||-6.633596,53.009083||-6.613237,53.021622|WI021-004----|
49._Baltinglass.xml|fe8fc43e21e5|nan|nan|nan|49|49._Baltinglass|CIIC 49. Baltinglass|Baltinglass|Upper Talbotstown||-6.711032, 52.940557|-6.254558,53.340408|WI027-079----|
50._Boleycarrigeen.xml|49e30d1fcf45|nan|nan|nan|50|50._Boleycarrigeen|CIIC 50. Boleycarrigeen|Crossoona|UpperTalbotstown|-6.613903,52.944176|||WI027-038002-|
51._Knickeen.xml|b555a9260a4b|nan|nan|nan|51|51._Knickeen|CIIC 51. Knickeen|Knickeen|Upper Talbotstown|-6.536390, 52.995927|||WI022-012----|
57._Greenhill_I.xml|9f6caec7e5e7|nan|nan|nan|57|57._Greenhill_I|CIIC 57. Greenhill I|Greenhill|Barretts|-8.606844, 52.077595|||CO042-049002-|
58._Greenhill_II.xml|b65f5ba55b2b|nan|nan|nan|58|58._Greenhill_II|CIIC 58. Greenhill II|Greenhill|Barretts|-8.606904, 52.078037|||CO042-049001-|
66._Faunkill_and_the_Woods.xml|b4eccb141b4f|nan|nan|nan|66|66._Faunkill_and_the_Woods|CIIC 66. Faunkill and the Woods|Faunkill and the Woods|Bear|-9.944582, 51.712874|||CO102-013----|
69._Ahalisky_I.xml|b2c28612e611|nan|nan|nan|69|69._Ahalisky_I|CIIC 69. Ahalisky I|Ahalisky|East Carbery|-8.847020, 51.681206||-6.254558,53.340408|CO122-049003-|
70._Ahalisky_II.xml|47aa24eacd03|nan|nan|nan|70|70._Ahalisky_II|CIIC 70. Ahalisky II|Ahalisky|East Carbery|-8.847020, 51.681206||-6.254558,53.340408|CO122-049004-|
71._Ahalisky_III.xml|a43c6c9a91f2|nan|nan|nan|71|71._Ahalisky_III|CIIC 71. Ahalisky III|Ahalisky|East Carbery|-8.847020, 51.681206||-6.254558,53.340408|CO122-049005-|
79._Rathcanning_I.xml|7cf66105eabc|nan|nan|nan|79|79._Rathcanning_I|CIIC 79. Rathcanning I|Glenaphuca|Imokilly|-8.072074, 51.968058|-8.075929, 51.971264|-7.293729, 53.299464|CO066-009----|
80._Rathcanning_II.xml|a17a5522f8d9|nan|nan|nan|80|80._Rathcanning_II|CIIC 80. Rathcanning II|Glenaphuca|Imokilly|-8.075929, 51.971264||-6.254558,53.340408|CO066-053----|
97._Ballyhank_I.xml|09dc6e957b34|nan|nan|nan|97|97._Ballyhank_I|CIIC 97. Ballyhank I|Ballyhank|East Muskerry|-8.609923,51.831600||-6.254558,53.340408|CO085-067003-|
98._Ballyhank_II.xml|c173271b136a|nan|nan|nan|98|98._Ballyhank_II|CIIC 98. Ballyhank II|Ballyhank|East Muskerry|-8.609923,51.831600||-10.405999, 52.166581|CO085-067004-|
99._Ballyhank_III.xml|dbe7e20ff13a|nan|nan|nan|99|99._Ballyhank_III|CIIC 99. Ballyhank III|Ballyhank|East Muskerry|-8.609923,51.831600||-6.254558,53.340408|CO085-067005-|
100._Ballyhank_IV.xml|858d875291e8|nan|nan|nan|100|100._Ballyhank_IV|CIIC 100. Ballyhank IV|Ballyhank|East Muskerry|-8.609923,51.831600||-6.254558,53.340408|CO085-067006-|
101._Ballyhank_V.xml|c62c122c4252|nan|nan|nan|101|101._Ballyhank_V|CIIC 101. Ballyhank V|Ballyhank|East Muskerry|-8.609923,51.831600||-6.254558,53.340408|CO085-067007-|
102._Ballyhank_VI.xml|833445cbf142|nan|nan|nan|102|102._Ballyhank_VI|CIIC 102. Ballyhank VI|Ballyhank|East Muskerry|-8.609923,51.831600||-6.254558,53.340408|CO085-067008-|
118._Monataggart_I.xml|c3d23899a63d|nan|nan|nan|118|118._Monataggart_I|CIIC 118. Monataggart I|Monataggart|Donoughmore|-8.787796,51.976513||-6.254558,53.340408|CO061-022002-|
119._Monataggart_II.xml|a1eaafbf938b|nan|nan|nan|119|119._Monataggart_II|CIIC 119. Monataggart II|Monataggart|Donoughmore|-8.787796,51.976513||-6.254558,53.340408|CO061-022003-|
120._Monataggart_III.xml|ade7eec65620|nan|nan|nan|120|120._Monataggart_III|CIIC 120. Monataggart III|Monataggart|Donoughmore|-8.787796,51.976513||-6.254558,53.340408|CO061-022004-|
136._Ardfert_I.xml|31e99154b9c0|nan|nan|nan|136|136._Ardfert_I|CIIC 136. Ardfert I|Ardfert|Clanmaurice|-9.781661, 52.328526|||KE020-046018-|
141._Aglish_I.xml|32483a6a4c7d|nan|nan|nan|141|141._Aglish_I|CIIC 141. Aglish|Aglish|Corkaguiney|-10.137728, 52.136060||-6.254558,53.340408|KE054-032003-|
142._Aglish_II.xml|c8eed50068f9|nan|nan|nan|142|142._Aglish_II|CIIC 142. Aglish|Aglish|Corkaguiney|-10.137728, 52.136060|||KE054-032004-|
145._Arraglen.xml|07c83e870e97|nan|nan|nan|145|145._Arraglen|CIIC 145. Arraglen|Mt Brandon|Arraglen|-10.249772, 52.257546|||KE025-002001-|
146._Ballineanig.xml|1df4b56e69d7|nan|nan|nan|146|146._Ballineanig|CIIC 146. Ballineanig|Reask|Corkaguiney|-10.390985,52.163929||-6.254558,53.340408|KE042-151----|
147._Ballineesteenigh.xml|0879f3284d56|nan|nan|nan|147|147._Ballineesteenigh|CIIC 147. Ballineesteenigh|Ballineesteenigh|Corkaguiney|-10.204740, 52.140119||-10.306267, 52.126711|KE043-248----|
150._Ballinrannig_III.xml|f5e7b7389c47|nan|nan|nan|150|150._Ballinrannig_III|CIIC 150. Ballinrannig III|Ballinrannig|Corkaguiney|-10.388106, 52.178511||-10.306267, 52.126711|KE042-057008-|
151._Ballinrannig_IV.xml|fe5a35053746|nan|nan|nan|151|151._Ballinrannig_IV|CIIC 151. Ballinrannig IV|Ballinrannig|Corkaguiney|-10.388106, 52.178511||-10.306267, 52.126711|KE042-057009-|
152._Ballinrannig_V.xml|b219744db6eb|G/LUBBIAS MAQQI/ DN/IA?S|ᚌᚂᚒᚁᚁᚔᚐᚄ  ᚋᚐᚊᚊᚔ  ᚇᚅᚔᚐᚄ | |152|152._Ballinrannig_V|CIIC 152. Ballinrannig V|Ballinrannig|Corkaguiney|-10.388106, 52.178511||-9.642423, 52.275865|KE042-057010-|
153._Ballinrannig_VI.xml|fe49efeafcd5|nan|nan|nan|153|153._Ballinrannig_VI|CIIC 153. Ballinrannig VI|Ballinrannig|Corkaguiney|-10.388106, 52.178511||-9.642423, 52.275865|KE042-057011-|
154._Ballinrannig_VII.xml|41d975f0de1a|nan|nan|nan|154|154._Ballinrannig_VII|CIIC 154. Ballinrannig VII|Ballinrannig|Corkaguiney|-10.388106, 52.178511|||KE042-057003-|
155._Ballintaggart_I.xml|510f76dce157|nan|nan|nan|155|155._Ballintaggart_I|CIIC 155. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303, 52.127798|||KE053-033005-|
156._Ballintaggart_II.xml|b573110b524e|MAQQI-IARI KOI MA/QQI MU/CCOI DOVVINIAS|ᚋᚐᚊᚊᚔᚔᚐᚏᚔ  ᚕᚑᚔ  ᚋᚐᚊᚊᚔ  ᚋᚒᚉᚉᚑᚔ  ᚇᚑᚃᚃᚔᚅᚔᚐᚄ |of Mac-Iair here son of the descendant of Duibne |156|156._Ballintaggart_II|CIIC 156. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033006-|
157._Ballintaggart_III.xml|46392e5068b5|nan|nan|nan|157|157._Ballintaggart_III|CIIC 157. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033007-|
158._Ballintaggart_IV.xml|f84cc956e3b2|nan|nan|nan|158|158._Ballintaggart_IV|CIIC 158. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033008-|
159._Ballintaggart_V.xml|ca8804c5191b|nan|nan|nan|159|159._Ballintaggart_V|CIIC 159. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033009-|
160._Ballintaggart_VI.xml|d0a3e8223f05|nan|nan|nan|160|160._Ballintaggart_VI|CIIC 160. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033010-|
161._Ballintaggart_VII.xml|13cd5ccaa54f|nan|nan|nan|161|161._Ballintaggart_VII|CIIC 161. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033011-|
162._Ballintaggart_VIII.xml|4962e5ca62a0|nan|nan|nan|162|162._Ballintaggart_VIII|CIIC 162. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033012-|
163._Ballintaggart_IX.xml|0b38292be297|nan|nan|nan|163|163._Ballintaggart_IX|CIIC 163. Ballintaggart|Ballintaggart|Corkaguiney|-10.243303,52.127798|||KE053-033013-|
166._Ballinvoher.xml|c108345488d5|COIMAGNI MAQI VITALIN|ᚉᚑᚔᚋᚐᚌᚅᚔ  ᚋᚐᚊᚔ  ᚃᚔᚈᚐᚂᚔᚅ |Of Cóemán son of Vitalinus |166|166._Ballinvoher|CIIC 166. Ballinvoher|Ballinvoher|Corkaguiney||-10.028243,52.168537|-6.254558,53.340408|KE045-105----|
170._Ballymorereagh.xml|cd3b6e77ca97|nan|nan|nan|170|170._Ballymorereagh|CIIC 170. Ballymorereagh|Ballymorereagh|Corkaguiney|-10.331399, 52.154449|||KE043-140008-|
171._Ballynahunt.xml|5c39234f4f17|nan|nan|nan|171|171._Ballynahunt|CIIC 171. Ballynahunt|Ballynahunt|Corkaguiney||-10.002512, 52.182976|-10.030458, 52.181881|KE045-016----|
172._Ballywiheen.xml|4a19d3780b4f|nan|nan|nan|172|172._Ballywiheen|CIIC 172. Ballywiheen|Ballywiheen|Corkaguiney|-10.407534, 52.156204|-10.407357, 52.158683||KE042-093003-|
173._Brackloon.xml|925280299459|nan|nan|nan|173|173._Brackloon|CIIC 173. Brackloon|Brackloon|Corkaguiney|-10.269093, 52.136316||-10.405999, 52.166581|KE045-081002-|
175._Burnham_West.xml|b50a52001c96|nan|nan|nan|175|175._Burnham_West|CIIC 175. Burnham West|Burnham West|Corkaguiney|||-10.306267, 52.126711|KE000-002----|
178._Coumeenole.xml|eaefdcd88848|nan|nan|nan|178|178._Coumeenole|CIIC 178. Coumeenole|Coumeenole|Corkaguiney|-10.473639, 52.110137|||KE052-059002-|
180._Emlagh_East.xml|19c90013a8ba|nan|nan|nan|180|180._Emlagh_East|CIIC 180. Emlagh East|Trabeg|Emlagh East|-10.216217, 52.131625|||KE053-040----|
181._Emlagh_West.xml|956bc41e4f6b|nan|nan|nan|181|181._Emlagh_West|CIIC 181. Emlagh West|Emlagh West|Corkaguiney|-10.269093, 52.136316||-10.405999, 52.166581|KE042-167----|
185._Inishvickillane.xml|2e370e5a47f3|nan|nan|nan|185|185._Inishvickillane|CIIC 185. Inishvickillane|Inishvickillane|Corkaguiney|-10.606058, 52.044046||-6.256657, 53.343981|KE061-006008-|
186._Kilfountain.xml|d5109a523cfa|nan|nan|nan|186|186._Kilfountain|CIIC 186. Kilfountain|Kilfountain|Corkaguiney|-10.306496, 52.157768|||KE043-144005-|
187._Kilmalkedar.xml|6ad4dc126c54|nan|nan|nan|187|187._Kilmalkedar|CIIC 187. Kilmalkedar|Kilmalkedar|Corkaguiney|-10.336582, 52.184757|||KE042-026001-|
188._Kinard_East_I.xml|6d90bb5b2fc8|nan|nan|nan|188|188._Kinard_East_I|CIIC 188. Kinard East|Kinard East|Corkaguiney|-10.196581, 52.126196|||KE053-053005-|
189._Kinard_East_II.xml|c68ac2f7bef6|nan|nan|nan|189|189._Kinard_East_II|CIIC 189. Kinard East|Kinard East|Corkaguiney|-10.196619, 52.126261|||KE053-053002-|
190._Lugnagappul_I.xml|0b40fe9c05ce|nan|nan|nan|190|190._Lugnagappul_I|CIIC 190. Lugnagappul|Lugnagappul|Corkaguiney|-10.130758, 52.135851|||KE054-033002-|
191._Lugnagappul_II.xml|f3de49a9be56|nan|nan|nan|191|191._Lugnagappul_II|CIIC 191. Lugnagappul|Lugnagappul|Corkaguiney|-10.130758, 52.135851|||KE054-033004-|
192._Martramane.xml|e047bfca4e09|nan|nan|nan|192|192._Martramane|CIIC 192. Martramane|Martramane|Corkaguiney|-10.019614, 52.257493||-6.254558,53.340408|DU018-395----|
193._Maumanorig.xml|b1fcd90af63e|nan|nan|nan|193|193._Maumanorig|CIIC 193. Maumanorig|Maumanorig|Corkaguiney|-10.358471, 52.143726|||KE042-141006-|
