ciic|label|lon|lat
4|CIIC 4. Kilmannin|-8.765218|53.773045
10|CIIC 10. Breastagh|-9.254148|54.246617
11|CIIC 11. Drummin I|-8.369881|53.834383
12|CIIC 12. Rathcroghan I|-8.310399|53.797323
13|CIIC 13. Rathcroghan II|-8.310399|53.797323
15|CIIC 15. Clonmore|-6.570066|52.827385
16|CIIC 16. Rathglass|-6.720154|52.784779
17|CIIC 17. Tuckamine|-6.254558|53.340408
19|CIIC 19. Colbinstown I|-6.760943|53.028577
20|CIIC 20. Colbinstown II|-6.761020|53.028337
22|CIIC 22. Colbinstown IV|-6.761012|53.028493
23|CIIC 23. Colbinstown V|-6.760801|53.028514
25|CIIC 25. Colbinstown|-6.760951|53.028323
26|CIIC 26. Donaghmore|-6.552921|53.377091
28|CIIC 28. Churchclara I|-7.145972|52.655460
31|CIIC 31. Fiddaun|-7.037871|52.522596
32|CIIC 32. Gowran|-7.064559|52.628962
34|CIIC 34. Legan|-7.162888|52.534804
35|CIIC 35. Tullaherin I|-7.129917|52.579293
36|CIIC 36. Lamoge I|-7.365943|52.446598
37|CIIC 37. Lamoge II|-7.365943|52.446598
38|CIIC 38. Ballyboodan|-7.222584|52.470256
40|CIIC 40. Painestown|-6.565704|53.667656
46|CIIC 46. Houseland|-6.889553|52.151461
47|CIIC 47. Castletimon|-6.071241|52.904532
48|CIIC 48. Donard|-6.633596|53.009083
49|CIIC 49. Baltinglass|-6.254558|53.340408
50|CIIC 50. Boleycarrigeen|-6.613903|52.944176
51|CIIC 51. Knickeen|-6.536390|52.995927
57|CIIC 57. Greenhill I|-8.606844|52.077595
58|CIIC 58. Greenhill II|-8.606904|52.078037
66|CIIC 66. Faunkill and the Woods|-9.944582|51.712874
69|CIIC 69. Ahalisky I|-8.847020|51.681206
70|CIIC 70. Ahalisky II|-8.847020|51.681206
71|CIIC 71. Ahalisky III|-8.847020|51.681206
79|CIIC 79. Rathcanning I|-8.072074|51.968058
80|CIIC 80. Rathcanning II|-8.075929|51.971264
97|CIIC 97. Ballyhank I|-8.609923|51.831600
98|CIIC 98. Ballyhank II|-8.609923|51.831600
99|CIIC 99. Ballyhank III|-8.609923|51.831600
100|CIIC 100. Ballyhank IV|-8.609923|51.831600
101|CIIC 101. Ballyhank V|-8.609923|51.831600
102|CIIC 102. Ballyhank VI|-8.609923|51.831600
118|CIIC 118. Monataggart I|-8.787796|51.976513
119|CIIC 119. Monataggart II|-8.787796|51.976513
120|CIIC 120. Monataggart III|-8.787796|51.976513
136|CIIC 136. Ardfert I|-9.781661|52.328526
141|CIIC 141. Aglish|-10.137728|52.136060
142|CIIC 142. Aglish|-10.137728|52.136060
145|CIIC 145. Arraglen|-10.249772|52.257546
146|CIIC 146. Ballineanig|-10.390985|52.163929
147|CIIC 147. Ballineesteenigh|-10.204740|52.140119
150|CIIC 150. Ballinrannig III|-10.388106|52.178511
151|CIIC 151. Ballinrannig IV|-10.388106|52.178511
