id|ciic_wd|ciic|o3d_wd|o3d|cisp_wd|cisp
1|Q70892272|1|||Q106675539|INCHA/1
2|Q70892276|2|||Q106675420|CLOOM/1
3|Q70892278|3|||Q106675541|ISLAN/1
4|Q70899515|4|Q106674314|4. Kilmannin|Q106675546|KILMA/1
5|Q70899516|5|||Q106675685|RUSHE/1
6|Q70899519|7|||Q106675703|TULLA/1
7|Q70892286|6|||Q106675445|CORRO/1
8|Q70892288|8|||Q106675478|DOOGH/1
9|Q70892292|9|||Q106675295|AGHAL/1
10|Q70892302|10|Q106674154|10. Breastagh|Q106675396|BREAS/1
11|Q70892303|11|Q106674177|11. Drummin I|Q106675496|DRUMM/1
12|Q70892306|12|Q106674181|12. Rathcroghan I|Q106675660|RCROG/1
13|Q70899521|13|Q106674183|13. Rathcroghan II|Q106675661|RCROG/2
14|Q70899522|14|||Q106675562|KLCUM/1
15|Q70892312|15|Q106674191|15. Clonmore|Q106675418|CLMOR/1
16|Q70899524|16|Q106674202|16. Rathglass|Q106675670|RGLAS/1
17|Q70892316|17|Q106674208|17. Tuckamine|Q106675697|TMINE/1
18|Q70892318|18|||Q106675648|POMCK/1
19|Q70899528|19|Q106674223|19. Colbinstown I|Q106675423|COLIN/1
20|Q70892328|20|Q106674234|20. Colbinstown II|Q106675424|COLIN/2
21|Q70899529|21|||Q106675425|COLIN/3
22|Q70899530|22|Q106674255|22. Colbinstown IV|Q106675426|COLIN/4
23|Q70899537|23|Q106674258|23. Colbinstown V|Q106675427|COLIN/5
24|Q70899538|24|||Q106675428|COLIN/6
25|Q70899541|25|Q106674265|25. Colbinstown VII|Q106675429|COLIN/7
26|Q70899544|26|Q106674270|26. Donaghmore|Q106675474|DNMOR/1
27|Q70892342|27||||
28|Q70892353|28|Q106674287|28. Churchclara I|Q106675411|CHLAR/1
29|Q70892354|29|||Q106675498|DUNB/1
30|Q70892357|30|||Q106675499|DUNB/2
31|Q70892359|31|Q106674306|31. Fiddaun Upper|Q106675505|FIDUP/1
32|Q70892361|32|Q106674307|32. Gowran|Q106675527|GOWRN/1
33|Q70892363|33|Q106674309|34. Legan|Q106675532|GRMGH/1
34|Q70892365|34|Q106674310|35. Tullaherin I|Q106675617|LEGAN/1
35|Q70892367|35|Q106674311|36. Lamoge I|Q106675702|TULHE/1
36|Q70892369|36|Q106674312|37. Lamoge II|Q106675615|LAMOG/1
37|Q70892376|37|Q106674313|38. Ballyboodan|Q106675616|LAMOG/2
38|Q67510124|38|||Q106675347|BALBO/1
39|Q70892378|39|||Q106675360|BAROG/1
40|Q70892380|40|Q106674315|40. Painestown|Q106675643|PAINT/1
41|Q70892381|41|||Q106675459|CSKEE/1
42|Q70892382|42|||Q106675350|BALGH/1
43|Q70892386|43|||Q106675531|GRISL/1
44|Q70892388|44|||Q106675446|COTTS/1
45|Q70892390|45|||Q106675545|KILEG/1
46|Q70892393|46|Q106674316|46. Houseland|Q106675535|HLAND/1
47|Q70892399|47|Q106674317|47. Castletimon|Q106675460|CSMO/1
48|Q70892402|48|Q106674319|48. Donard|Q106675472|DNARD/1
49|Q70892404|49|Q106674320|49. Baltinglass|Q106675370|BGLAS/1
50|Q70892406|50|Q106674323|50. Boleycarrigeen|Q106675365|BCARE/1
51|Q70892409|51|Q106674324|51. Knickeen|Q106675602|KNICK/1
52|Q70892410|52||||
