item,itemLabel,itemDescription,no
Q106675295,AGHAL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGHAL/1
Q106675296,AGHAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",AGHAS/1
Q106675297,AGHIB/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGHIB/1
Q106675298,AGHIB/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGHIB/2
Q106675299,AGHIB/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGHIB/3
Q106675300,AGLIS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGLIS/1
Q106675302,AGLIS/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AGLIS/2
Q106675303,AHLIS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AHLIS/1
Q106675304,AHLIS/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AHLIS/2
Q106675305,AHLIS/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AHLIS/3
Q106675306,AMORE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AMORE/1
Q106675307,AMORE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AMORE/2
Q106675308,AMORE/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AMORE/3
Q106675309,ANGAP/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ANGAP/1
Q106675310,ANSCL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ANSCL/1
Q106675311,ARDCT/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ARDCT/1
Q106675312,ARDCT/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ARDCT/2
Q106675313,ARDFE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ARDFE/1
Q106675314,ARDNE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ARDNE/1
Q106675315,ARRAG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ARRAG/1
Q106675316,AUTAG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AUTAG/1
Q106675318,AYWAG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",AYWAG/1
Q106675319,BABOR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BABOR/1
Q106675320,BABOR/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BABOR/2
Q106675321,BAHAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/1
Q106675322,BAHAN/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/2
Q106675323,BAHAN/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/3
Q106675324,BAHAN/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/4
Q106675326,BAHAN/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/5
Q106675328,BAHAN/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAHAN/6
Q106675329,BAKNK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/1
Q106675330,BAKNK/10 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/10
Q106675331,BAKNK/11 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/11
Q106675332,BAKNK/12 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/12
Q106675333,BAKNK/13 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/13
Q106675334,BAKNK/14 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/14
Q106675335,BAKNK/15 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/15
Q106675336,BAKNK/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/2
Q106675337,BAKNK/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/3
Q106675338,BAKNK/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/4
Q106675339,BAKNK/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/5
Q106675340,BAKNK/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/6
Q106675341,BAKNK/7 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/7
Q106675343,BAKNK/8 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/8
Q106675345,BAKNK/9 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BAKNK/9
Q106675346,BALBA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BALBA/1
Q106675347,BALBO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BALBO/1
Q106675348,BALBR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BALBR/1
