"stone"|"item"
"Q106675463"|"Q106680762"
"Q106674320"|"Q106680694"
"Q106675417"|"Q106681236"
"Q106675391"|"Q106680841"
"Q106675416"|"Q106681235"
"Q106675600"|"Q106681176"
"Q106675492"|"Q106681120"
"Q106674202"|"Q106680579"
"Q106675495"|"Q106681124"
"Q106675443"|"Q106680728"
"Q106675484"|"Q106681055"
"Q106675556"|"Q106680934"
"Q106674184"|"Q106680800"
"Q106675414"|"Q106680962"
"Q70892533"|"Q106680780"
"Q106675462"|"Q106680929"
"Q106675337"|"Q106680738"
"Q106675308"|"Q106681051"
"Q70892386"|"Q106680685"
"Q106675519"|"Q106680856"
"Q106675458"|"Q106681238"
"Q106675442"|"Q106680928"
"Q70892652"|"Q106680837"
"Q106675408"|"Q106681232"
"Q70892510"|"Q106680760"
"Q106675618"|"Q106680972"
"Q106675353"|"Q106680817"
"Q106675630"|"Q106680777"
"Q106674293"|"Q106681165"
"Q106674284"|"Q106681120"
"Q106675544"|"Q106680859"
"Q70899538"|"Q106680587"
"Q106674239"|"Q106680930"
"Q106674312"|"Q106680601"
"Q70892835"|"Q106680968"
"Q70892635"|"Q106680831"
"Q106675666"|"Q106680981"
"Q106674251"|"Q106680946"
"Q106675705"|"Q106680946"
"Q106675612"|"Q106680775"
"Q106675493"|"Q106681121"
"Q70892870"|"Q106680983"
"Q106675374"|"Q106680842"
"Q70892906"|"Q106681007"
"Q106675435"|"Q106680791"
"Q106674219"|"Q106680859"
"Q70892821"|"Q106680961"
"Q70892699"|"Q106680857"
"Q106675580"|"Q106680701"
"Q106675545"|"Q106680687"
"Q106675429"|"Q106680588"
"Q106674311"|"Q106680600"
"Q106675636"|"Q106680868"
"Q106674314"|"Q106680565"
"Q106675662"|"Q106680978"
"Q106675619"|"Q106680973"
"Q70892869"|"Q106680982"
"Q106675446"|"Q106680686"
"Q70892933"|"Q106681053"
"Q106675530"|"Q106680705"
"Q106674223"|"Q106680582"
"Q106675456"|"Q106680790"
"Q106675378"|"Q106680824"
"Q106675354"|"Q106680818"
"Q70893010"|"Q106681178"
"Q70892493"|"Q106680753"
"Q106675439"|"Q106680908"
"Q106675336"|"Q106680737"
"Q106674201"|"Q106680826"
"Q85410004"|"Q106681200"
"Q70893024"|"Q106681183"
"Q106675723"|"Q106681370 "
"Q106675496"|"Q106680573"
"Q70892792"|"Q106680948"
"Q70892787"|"Q106680946"
"Q70892726"|"Q106680875"
"Q106675377"|"Q106680823"
"Q106674264"|"Q106681201"
"Q106675400"|"Q106680845"
"Q106675384"|"Q106680831"
"Q106675559"|"Q106680938"
"Q106675505"|"Q106680594"
"Q106675687"|"Q106681220"
"Q106675622"|"Q106680959"
"Q106675349"|"Q106680814"
"Q70893028"|"Q106681184"
"Q106675699"|"Q106681179"
"Q106675426"|"Q106680585"
"Q70892944"|"Q106681115"
"Q70892272"|"Q106680560"
"Q106675692"|"Q106681264"
"Q70892807"|"Q106680953"
"Q106674218"|"Q106680858"
"Q106675487"|"Q106681125"
"Q106675590"|"Q106680766"
"Q106674227"|"Q106680871"
"Q70892873"|"Q106680985"
"Q70892381"|"Q106680606"
"Q106674180"|"Q106680779"
"Q106675512"|"Q106680733"
"Q106675550"|"Q106681157"
"Q106675298"|"Q106680803"
"Q106675526"|"Q106680714"
"Q106674346"|"Q106681208"
"Q106675515"|"Q106680795"
"Q70885692"|"Q106680749"
"Q70892756"|"Q106680930"
"Q70892693"|"Q106680855"
"Q106674324"|"Q106680698"
"Q70892357"|"Q106680593"
"Q70892910"|"Q106681028"
"Q70885736"|"Q106680771"
"Q70892516"|"Q106680765"
"Q106674286"|"Q106681122"
"Q106675682"|"Q106681263"
"Q70892984"|"Q106681162"
"Q70885698"|"Q106680742"
"Q106675485"|"Q106680955"
"Q106675513"|"Q106681244"
"Q70892956"|"Q106681120"
"Q106675677"|"Q106680732"
"Q106675318"|"Q106680982"
"Q70892611"|"Q106680820"
"Q106675613"|"Q106680776"
"Q106674266"|"Q106680996"
"Q106675395"|"Q106680844"
"Q106675560"|"Q106680939"
"Q106675532"|"Q106680596"
"Q106675549"|"Q106680863"
"Q106675672"|"Q106680787"
