item,itemLabel,itemDescription,geo
http://www.wikidata.org/entity/Q85396849,Drumlohan,"Ogham Site, Co. Waterford",Point(-7.468056 52.163056)
http://www.wikidata.org/entity/Q85393952,Aghacarrible (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.176111 52.129444)
http://www.wikidata.org/entity/Q85390391,Aghaleague (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.330833 54.260278)
http://www.wikidata.org/entity/Q85392826,Aghascrebagh (Ogham Site),"Ogham Site, Co. Tyrone",Point(-7.047778 54.699444)
http://www.wikidata.org/entity/Q85393955,Aglish (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.138056 52.133056)
http://www.wikidata.org/entity/Q85394002,Ahalisky (Ogham Site),"Ogham Site, Co. Cork",Point(-8.846944 51.678889)
http://www.wikidata.org/entity/Q85394130,Annagap (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.063056 52.159167)
http://www.wikidata.org/entity/Q106628059,Annascaul (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.061076 52.152143)
http://www.wikidata.org/entity/Q85396815,Ardcanaght (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.733611 52.165556)
http://www.wikidata.org/entity/Q85394024,Ardfert (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.772778 52.328889)
http://www.wikidata.org/entity/Q85396905,Ardocheasty (Ogham Site),"Ogham Site, Co. Waterford",Point(-7.729167 51.944167)
http://www.wikidata.org/entity/Q85394026,Ardrinane (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.049167 52.143056)
http://www.wikidata.org/entity/Q85396974,Ardwanig (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.662778 52.147778)
http://www.wikidata.org/entity/Q85394028,Arraglen (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.236944 52.2675)
http://www.wikidata.org/entity/Q85394004,Aultagh (Ogham Site),"Ogham Site, Co. Cork",Point(-9.088056 51.770833)
http://www.wikidata.org/entity/Q85393961,Ballineesteenig (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.2075 52.140556)
http://www.wikidata.org/entity/Q85396837,Ballingarry (Ogham Site),"Ogham Site, Co. Limerick",Point(-8.377222 52.381944)
http://www.wikidata.org/entity/Q85394310,Ballinrannig (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.386111 52.176111)
http://www.wikidata.org/entity/Q85393964,Ballintaggart (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.031111 52.1725)
http://www.wikidata.org/entity/Q85395620,Ballintermon (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.031389 52.155278)
http://www.wikidata.org/entity/Q85395552,Ballinvoher (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.159444 52.186944)
http://www.wikidata.org/entity/Q85391707,Balloughton (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.720556 52.250556)
http://www.wikidata.org/entity/Q85395515,Ballyandreen (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.0375 52.165833)
http://www.wikidata.org/entity/Q106626868,Ballybarrack (Ogham Site),"Ogham Site, Co. Louth",Point(-6.43833 53.98278)
http://www.wikidata.org/entity/Q69378747,Ballyboodan (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.231111 52.471944)
http://www.wikidata.org/entity/Q106628064,Ballybroman (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.746467 52.32801)
http://www.wikidata.org/entity/Q85395517,Ballyeightragh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.323333 52.160556)
http://www.wikidata.org/entity/Q85396834,Ballyelan (Ogham Site),"Ogham Site, Co. Limerick",Point(-8.823889 52.4575)
http://www.wikidata.org/entity/Q85394010,Ballyhank (Ogham Site),"Ogham Site, Co. Cork",Point(-8.608333 51.838611)
http://www.wikidata.org/entity/Q85394270,Ballyknock (Ogham Site),"Ogham Site, Co. Cork",Point(-8.071111 52.026944)
http://www.wikidata.org/entity/Q85395592,Ballymorereagh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.3275 52.151389)
http://www.wikidata.org/entity/Q85393914,Ballynabortagh (Ogham Site),"Ogham Site, Co. Cork",Point(-8.453333 52.010278)
http://www.wikidata.org/entity/Q85395518,Ballynahunt (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.029722 52.1875)
http://www.wikidata.org/entity/Q85396916,Ballyquin (Ogham Site),"Ogham Site, Co. Waterford",Point(-7.385 52.311111)
http://www.wikidata.org/entity/Q85391701,Ballyspellan (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.524444 52.76)
http://www.wikidata.org/entity/Q85396997,Ballyvellon (Ogham Site),"Ogham Site, Co. Waterford",Point(-7.226667 52.185)
http://www.wikidata.org/entity/Q85396847,Ballyvoony (Ogham Site),"Ogham Site, Co. Waterford",Point(-7.439167 52.133333)
http://www.wikidata.org/entity/Q85395519,Ballywiheen / Cahernagat (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.400833 52.155833)
http://www.wikidata.org/entity/Q85391683,Baltinglass (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.624444 52.966389)
http://www.wikidata.org/entity/Q85391668,Barnaveddoge (Ogham Site),"Ogham Site, Co. Louth",Point(-6.476667 53.845)
http://www.wikidata.org/entity/Q69378412,Barrahaurin (Ogham Site),"Ogham Site, Co. Cork",Point(-8.818333 52.015833)
http://www.wikidata.org/entity/Q85396897,Bawnaglanna (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.438889 52.1425)
http://www.wikidata.org/entity/Q106628070,Bennettsbridge (Ogham Site),"Ogham Site, Co. Kilkenny",
http://www.wikidata.org/entity/Q85393915,Bishop's Island (Ogham Site),"Ogham Site, Co. Cork",Point(-8.360556 52.008611)
http://www.wikidata.org/entity/Q85391685,Boleycarrigeen (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.608898 52.947012)
http://www.wikidata.org/entity/Q85396931,Brackhill / Brakel (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.687778 52.161944)
http://www.wikidata.org/entity/Q85395554,Brackloon (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.036389 52.146944)
http://www.wikidata.org/entity/Q85395555,Brandon Mountain (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.159444 52.186944)
http://www.wikidata.org/entity/Q85390394,Breastagh (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.248056 54.248611)
http://www.wikidata.org/entity/Q106628062,Brookhill (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.736282 52.067482)
http://www.wikidata.org/entity/Q106626869,Bunkilla (Ogham Site),"Ogham Site, Co. Cork",Point(-8.69389 51.97722)
http://www.wikidata.org/entity/Q85393931,Burgatia / Teampuleen Fachtna (Ogham Site),"Ogham Site, Co. Cork",Point(-9.0125 51.577778)
http://www.wikidata.org/entity/Q85393991,Burnfort (Ogham Site),"Ogham Site, Co. Cork",Point(-8.599444 52.068056)
http://www.wikidata.org/entity/Q85395594,Burnham East (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.306944 52.125833)
http://www.wikidata.org/entity/Q85395556,Camp Ogham Site (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.910278 52.215)
http://www.wikidata.org/entity/Q85395576,Canburrin (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.166667 51.921111)
http://www.wikidata.org/entity/Q106628045,Carhoovauler (Ogham Site),"Ogham Site, Co. Cork",Point(-8.963932 51.690718)
http://www.wikidata.org/entity/Q85393926,Carhoovauler (Ogham Site),"townland in Knocks, County Cork, Ireland",Point(-8.956111 51.688333)
http://www.wikidata.org/entity/Q85392806,Carncome (Ogham Site),"Ogham Site, Co. Antrim",Point(-6.183333 54.803056)
http://www.wikidata.org/entity/Q85393943,Carrigagulla (Ogham Site),"Ogham Site, Co. Cork",Point(-8.909167 52.0075)
http://www.wikidata.org/entity/Q106628035,Castlegrace (Ogham Site),"Ogham Site, Co. Carlow",Point(-6.74288 52.762953)
http://www.wikidata.org/entity/Q85391673,Castlekeeran (Ogham Site),"Ogham Site, Co. Meath",Point(-6.96 53.735833)
http://www.wikidata.org/entity/Q106628034,Castletimon (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.071362 52.904038)
http://www.wikidata.org/entity/Q85391708,Castletimon (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.063611 52.909167)
