wd|ciic|o3d|cisp
Q85390377|1||INCHA
Q85390407|2||CLOOM
Q85390382|3||ISLAN
Q72006009|4|4. Kilmannin|KILMA
Q85390384|5||RUSHE
Q85390409|6||TULLA
Q85390388|7||CORRO
Q85390429|8||DOOGH
Q85390391|9||AGHAL
Q85390394|10|10. Breastagh|BREAS
Q85390417|11|11. Drummin I|DRUMM
Q85390711|12|12. Rathcroghan I|RCROG
Q85390711|13|13. Rathcroghan II|RCROG
Q85391730|14||KLCUM
Q85391717|15|15. Clonmore|CLMOR
Q85391648|16|16. Rathglass|RGLAS
Q85391650|17|17. Tuckamine|TMINE
Q85391732|18||POMCK
Q85391762|19|19. Colbinstown I|COLIN
Q85391762|20|20. Colbinstown II|COLIN
Q85391762|21||COLIN
Q85391762|22|22. Colbinstown IV|COLIN
Q85391762|23|23. Colbinstown V|COLIN
Q85391762|24||COLIN
Q85391762|25|25. Colbinstown VII|COLIN
Q85391654|26|26. Donaghmore|DNMOR
Q85391701|27||
Q85391656|28|28. Churchclara I|CHLAR
Q85391719|29||DUNB
Q85391719|30||DUNB
Q85391658|31|31. Fiddaun Upper|FIDUP
Q85391704|32|32. Gowran|GOWRN
Q85391660|33||GRMGH
Q85391706|34|34. Legan|LEGAN
Q85391735|35|35. Tullaherin I|TULHE
Q85391666|36|36. Lamoge I|LAMOG
Q85391666|37|37. Lamoge II|LAMOG
Q69378747|38|38. Ballyboodan|BALBO
Q85391668|39||BAROG
Q85391671|40|40. Painestown|PAINT
Q85391673|41||CSKEE
Q85391707|42||BALGH
Q85391722|43||GRISL
Q85391675|44||COTTS
Q85391677|45||KILEG
Q85391680|46|46. Houseland|HLAND
Q85391708|47|47. Castletimon|CSMON
Q85391710|48|48. Donard|DNARD
Q85391683|49|49. Baltinglass|BGLAS
Q85391685|50|50. Boleycarrigeen|BCARE
Q85391711|51|51. Knickeen|KNICK
Q85393909|52||
Q85394775|53||
Q85393912|54||KLLOE
Q85394096|55||COOME
Q85393991|56||BURNF
Q72006007|57|57. Greenhill I|GRENL
Q72006007|58|58. Greenhill II|GRENL
Q85393914|59||BABOR
Q85393914|60||BABOR
Q85393915|61||BIISL
Q85393918|62||DNBUL
Q85393995|63||GLEWI
Q85393995|64||GLEWI
Q85393922|65||RACOB
Q85393998|66|66. Faunkill and the Woods|FKWOO
Q85394098|67||GOUR
Q85394111|68||KLCAS
Q85394002|69|69. Ahalisky I|AHLIS
Q85394002|70|70. Ahalisky II|AHLIS
Q85394002|71|71. Ahalisky III|AHLIS
Q85394004|72||AUTAG
Q85393926|73||CARHA
Q85393926|74||CARHA
Q85393928|75||KEENH
Q85394006|76||TEMAN
Q85393931|77||BURGA
Q85394074|78||COOLN
Q85393934|79|79. Rathcanning I|RTHCA
Q85393934|80|80. Rathcanning II|RTHCA
Q69385525|81||GARES
Q85394270|82||BAKNK
Q85394270|83||BAKNK
Q85394270|84||BAKNK
Q85394270|85||BAKNK
Q85394270|86||BAKNK
Q85394270|87||BAKNK
Q85394270|88||BAKNK
Q85394270|89||BAKNK
Q85394270|90||BAKNK
Q85394270|91||BAKNK
Q85394270|92||BAKNK
Q85394270|93||BAKNK
Q85394270|94||BAKNK
Q85394270|95||BAKNK
Q85394270|96||BAKNK
Q85394010|97|97. Ballyhank I|BAHAN
Q85394010|98|98. Ballyhank II|BAHAN
Q85394010|99|99. Ballyhank III|BAHAN
Q85394010|100|100. Ballyhank IV|BAHAN
Q85394010|101|101. Ballyhank V|BAHAN
Q85394010|102|102. Ballyhank VI|BAHAN
Q69378412|103||BARHA
Q85394077|104||COOGH
