item,label,desc,country,county,ino
Q67510124,CIIC 38 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,38
Q67978531,CIIC 203 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,203
Q69377850,CIIC 103 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,103
Q69383434,CIIC 115 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,115
Q69385241,CIIC 117 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,117
Q69385424,CIIC 81 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,81
Q70382438,CIIC 116 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,116
Q70382440,CIIC 113 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,113
Q70885690,CIIC 89 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,89
Q70885692,CIIC 93 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,93
Q70885695,CIIC 85 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,85
Q70885697,CIIC 96 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,96
Q70885698,CIIC 87 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,87
Q70885701,CIIC 262 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184594,262
Q70885703,CIIC 95 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,95
Q70885704,CIIC 83 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,83
Q70885706,CIIC 94 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,94
Q70885712,CIIC 90 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,90
Q70885713,CIIC 92 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,92
Q70885716,CIIC 86 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,86
Q70885720,CIIC 88 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,88
Q70885722,CIIC 127 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,127
Q70885723,CIIC 63 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,63
Q70885727,CIIC 107 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,107
Q70885728,CIIC 105 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,105
Q70885730,CIIC 61 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,61
Q70885734,CIIC 128 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,128
Q70885736,CIIC 114 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,114
Q70885739,CIIC 112 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,112
Q70892272,CIIC 1 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q169923,1
Q70892276,CIIC 2 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q107397,2
Q70892278,CIIC 3 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q178626,3
Q70892286,CIIC 6 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q178626,6
Q70892288,CIIC 8 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q178626,8
Q70892292,CIIC 9 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q178626,9
Q70892302,CIIC 10 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q178626,10
Q70892303,CIIC 11 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q179437,11
Q70892306,CIIC 12 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q179437,12
Q70892312,CIIC 15 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q181882,15
Q70892316,CIIC 17 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q181882,17
Q70892318,CIIC 18 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q4169280,18
Q70892328,CIIC 20 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q173332,20
Q70892342,CIIC 27 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,27
Q70892353,CIIC 28 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,28
Q70892354,CIIC 29 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,29
Q70892357,CIIC 30 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,30
Q70892359,CIIC 31 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,31
Q70892361,CIIC 32 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,32
Q70892363,CIIC 33 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,33
Q70892365,CIIC 34 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,34
Q70892367,CIIC 35 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,35
Q70892369,CIIC 36 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,36
Q70892376,CIIC 37 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q180231,37
Q70892378,CIIC 39 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q183539,39
Q70892380,CIIC 40 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q183544,40
Q70892381,CIIC 41 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q183544,41
Q70892382,CIIC 42 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184599,42
Q70892386,CIIC 43 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184599,43
Q70892388,CIIC 44 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184599,44
Q70892390,CIIC 45 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184599,45
Q70892393,CIIC 46 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184599,46
Q70892399,CIIC 47 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q182591,47
Q70892402,CIIC 48 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q182591,48
Q70892404,CIIC 49 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q182591,49
Q70892406,CIIC 50 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q183539,50
Q70892409,CIIC 51 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q182591,51
Q70892410,CIIC 52 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q181862,52
Q70892412,CIIC 53 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q181862,53
Q70892414,CIIC 54 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q181862,54
Q70892416,CIIC 55 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,55
Q70892424,CIIC 56 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,56
Q70892427,CIIC 57 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,57
Q70892430,CIIC 58 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,58
Q70892431,CIIC 59 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,59
Q70892434,CIIC 60 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,60
Q70892436,CIIC 62 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,62
Q70892438,CIIC 64 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,64
Q70892442,CIIC 65 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,65
Q70892444,CIIC 66 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,66
Q70892450,CIIC 67 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,67
Q70892452,CIIC 68 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,68
Q70892453,CIIC 69 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,69
Q70892457,CIIC 70 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,70
Q70892459,CIIC 71 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,71
Q70892460,CIIC 72 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,72
Q70892463,CIIC 73 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,73
Q70892466,CIIC 74 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,74
Q70892468,CIIC 75 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,75
Q70892474,CIIC 76 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,76
Q70892476,CIIC 77 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,77
Q70892478,CIIC 78 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,78
Q70892481,CIIC 79 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,79
Q70892484,CIIC 80 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,80
Q70892485,CIIC 82 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,82
Q70892488,CIIC 84 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,84
Q70892490,CIIC 91 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,91
Q70892493,CIIC 97 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,97
Q70892498,CIIC 98 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,98
Q70892501,CIIC 99 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,99
Q70892504,CIIC 100 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,100
Q70892506,CIIC 101 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,101
Q70892509,CIIC 102 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,102
Q70892510,CIIC 104 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,104
Q70892513,CIIC 106 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,106
Q70892516,CIIC 108 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,108
Q70892518,CIIC 109 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,109
Q70892523,CIIC 110 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,110
Q70892526,CIIC 111 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,111
Q70892527,CIIC 118 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,118
Q70892531,CIIC 119 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,119
Q70892533,CIIC 120 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,120
Q70892534,CIIC 121 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,121
Q70892536,CIIC 122 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,122
Q70892539,CIIC 123 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,123
Q70892540,CIIC 124 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,124
Q70892545,CIIC 125 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,125
Q70892549,CIIC 126 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,126
Q70892550,CIIC 129 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,129
Q70892553,CIIC 130 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,130
Q70892555,CIIC 131 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,131
Q70892556,CIIC 132 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,132
Q70892558,CIIC 133 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,133
Q70892561,CIIC 134 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,134
Q70892563,CIIC 135 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q162475,135
Q70892567,CIIC 136 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,136
Q70892569,CIIC 137 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,137
Q70892572,CIIC 138 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,138
Q70892574,CIIC 139 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,139
Q70892577,CIIC 140 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,140
Q70892578,CIIC 141 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,141
Q70892582,CIIC 142 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,142
Q70892584,CIIC 143 (Ogham Stone Concept by RAS Macalister),"Ogham Stone, Ireland",Q27,Q184469,143
