id,word,wikidata,type,translation,ref,variants,context
1,ANM,Q68000035,Q67381377,name,"McManus 1991,§6.27",[ANM],"{{ANM [P]},{ANM [P] MAQI [P]}}"
2,AVI,Q68000199,Q67381377,"grandson, descendant","McManus 1991,§6.27",[AVI],"{{AVI [P]},{[P] AVI [P]},{[P] MAQI [P] AVI [P]}}"
3,CELI,Q68000377,Q67381377,"companions, client, fellow","McManus 1991,§6.27",[CELI],"{{CELI [P]},{[P] CELI [P]}}"
4,INIGENA,Q106703620 ,Q67381377,daughter,"McManus 1991,§6.27",[INIGENA|INGENVI],{{INIGENA [P]}}
5,KOI,Q68000462,Q67381377,here,"McManus 1991,§6.27",[KOI],"{{[P] KOI MAQI MUCOI [P]},{KOI [P]}}"
6,MAQI,Q67381254,Q67381377,son,"McManus 1991,§6.27",[MAQI|MAQQI|MAQ|MAC|MACI|MACCI|MACV],"{{[P] MAQI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]},{ANM [P] MAQI [P]},{[P] MAQI [P] AVI [P]}}"
7,MEMOR,Q106703621 ,Q67381377,"memorial, tombstone","McManus 1991,§6.27",[MEMOR],{String}
8,MUCOI,Q67999759,Q67381377,"túath, tribe","McManus 1991,§6.27",[MUCOI|MOCU|MACCU|MOCOI|MOCO],"{{MUCOI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]}}"
9,NIOTA,Q106703622 ,Q67381377,"nephew, sister`s son","McManus 1991,§6.27",[NIOTA|NETTA|NETA],{{NIOTA [P]}}
10,CUNA,Q67382235,Q67382150,"dog, hound","McManus 1991,§6.3",[CUNA|CUNO|CONU|CVNO|CUNAS|CONAS|CONA|CON|CVNI],{subString}
11,CATTU,Q67383338,Q67382150,battle,"McManus 1991,§6.3",[CATTU|CATU|CATA|CAT|CATTOS|CATOS|CCATTO|CATTO|CCATO|CATI],{subString}
12,BARR,Q106703624 ,Q67382150,"top, head, hear of the head","McManus 1991,§6.4",[BARR|BAR],{subString}
13,DOV,Q106703625 ,Q67382150,black,"McManus 1991,§6.4",[DOV],{subString}
14,GLAS,Q106703626 ,Q67382150,light green,"McManus 1991,§6.4",[GLAS],{subString}
15,MAGL,Q106703628 ,Q67382150,prince,"McManus 1991,§6.4",[MAGL|MAGLI],{subString}
16,VIR,Q106703629 ,Q67382150,man,"McManus 1991,§6.4",[VIR|VER],{subString}
17,LUG,Q67383482,Q67382150,god,"McManus 1991,§6.5",[LUG],{subString}
18,ERC,Q67382360,Q67382150,god,"McManus 1991,§6.5",[ERC|ERCA],{subString}
19,RITTA,Q106703630 ,Q67382150,god,"McManus 1991,§6.5",[RITTA|RETA|RITTE],{subString}
20,BRAN,Q106703632 ,Q67382150,raven,"McManus 1991,§6.6",[BRAN],{subString}
21,QENN,Q106703633 ,Q67382150,head,"McManus 1991,§6.6",[QENN|QVEN|QEN|QENI],{subString}
22,IVA,Q106703635 ,Q67382150,"tree, yew tree","McManus 1991,§6.6",[IVA|IVO],{subString}
23,TREN,Q106703636 ,Q67382150,strong,"McManus 1991,§6.6",[TREN|TTREN],{subString}
24,DOVALESCI,Q106703638,Q79401991,(he who is) black and sliggish,"McManus 1991,§6.10",[DOVALESCI],{string}
25,GATTEGLAN,Q106703639 ,Q79401991,(he who is) wise and pure,"McManus 1991,§6.10",[GATTEGLAN],{string}
