stone|name|shortname|stone_id|name_caps
292. Knockboy I|...ERATI|erati|-1|...ERATI
292. Knockboy I|NETA-SEGAMONAS|netasegamonas|-1|NETA-SEGAMONAS
215. Whitefield I|ALATTO|alatto|-1|ALATTO
215. Whitefield I|BATTIGNI|battigni|-1|BATTIGNI
Church Island|BECCDINN|beccdinn|-1|BECCDINN
Church Island|RITTAVVECCAS|rittavveccas|-1|RITTAVVECCAS
276. Drumlohan V|BIGU|bigu|-1|BIGU
276. Drumlohan V|LAG[...|lag|-1|LAG[...
277. Drumlohan VI|BIR|bir|-1|BIR
277. Drumlohan VI|ROTTAIS|rottais|-1|ROTTAIS
285. Kilbeg|BIVAIDONAS|bivaidonas|-1|BIVAIDONAS
285. Kilbeg|ATAR|atar|-1|ATAR
120. Monataggart III|BROINIENAS|broinienas|-1|BROINIENAS
120. Monataggart III|NETTA-TTRENALUGOS|nettattrenalugos|-1|NETTA-TTRENALUGOS
180. Emlagh East|BRUSCCOS|brusccos|-1|BRUSCCOS
180. Emlagh East|CALIACI|caliaci|-1|CALIACI
273. Drumlohan II|CALUNOVICA|calunovica|-1|CALUNOVICA
273. Drumlohan II|LITENI|liteni|-1|LITENI
153. Ballinrannig VI|CCICAMINI|ccicamini|-1|CCICAMINI
153. Ballinrannig VI|CATTINI|cattini|-1|CATTINI
166. Ballinvoher|COIMAGNI|coimagni|-1|COIMAGNI
166. Ballinvoher|VITALIN|vitalin|-1|VITALIN
266. Dromore I|COLLABOT|collabot|-1|COLLABOT
266. Dromore I|LUGA|luga|-1|LUGA
266. Dromore I|LOBACCONA|lobaccona|-1|LOBACCONA
193. Maumanorig|COLMAN|colman|-1|COLMAN
193. Maumanorig|AILITHIR|ailithir|-1|AILITHIR
1083. Rathkenny I|COMMAGGAGNI|commaggagni|-1|COMMAGGAGNI
1083. Rathkenny I|ISAMMNN?|isammnn|-1|ISAMMNN?
98. Ballyhank II|CORBAGNI|corbagni|-1|CORBAGNI
98. Ballyhank II|COROTANI|corotani|-1|COROTANI
38. Ballyboodan|CORBI|corbi|-1|CORBI
38. Ballyboodan|LABRID|labrid|-1|LABRID
70. Ahalisky II|CUNAGUSOS|cunagusos|-1|CUNAGUSOS
70. Ahalisky II|VIRAGNI|viragni|-1|VIRAGNI
275. Drumlohan IV|CUNALEGEA|cunalegea|-1|CUNALEGEA
275. Drumlohan IV|C[....]SALAR|csalar|-1|C[....]SALAR
275. Drumlohan IV|QVECI|qveci|-1|QVECI
154. Ballinrannig VII|CUNAMAQQI|cunamaqqi|-1|CUNAMAQQI
154. Ballinrannig VII|CORBBI|corbbi|-1|CORBBI
154. Ballinrannig VII|DOVVINIA|dovvinia|-1|DOVVINIA
162. Ballintaggart VIII|CUNAMAQQI|cunamaqqi|-1|CUNAMAQQI
162. Ballintaggart VIII|CORBI|corbi|-1|CORBI
300. Island|CUNANETAS|cunanetas|-1|CUNANETAS
300. Island|NETA-SEGAMONAS|netasegamonas|-1|NETA-SEGAMONAS
119. Monataggart II|DALAGNI|dalagni|-1|DALAGNI
119. Monataggart II|DALI|dali|-1|DALI
197. Coolmagort I|DEGOS|degos|-1|DEGOS
197. Coolmagort I|TOICACI|toicaci|-1|TOICACI
279. Drumlohan VIII|DENAVECA|denaveca|-1|DENAVECA
279. Drumlohan VIII|MEDALO|medalo|-1|MEDALO
37. Lamoge II|DOVATUCI|dovatuci|-1|DOVATUCI
37. Lamoge II|TULOTANAGIA|tulotanagia|-1|TULOTANAGIA
157. Ballintaggart III|DOVETI|doveti|-1|DOVETI
157. Ballintaggart III|CATTINI|cattini|-1|CATTINI
171. Ballynahunt|DUGENNGI|dugenngi|-1|DUGENNGI
171. Ballynahunt|RODDOS|roddos|-1|RODDOS
252. Gurrane|DUMELI|dumeli|-1|DUMELI
252. Gurrane|GLASICONAS|glasiconas|-1|GLASICONAS
252. Gurrane|COBRANORA?|cobranora|-1|COBRANORA?
16. Rathglass|DUNAIDONAS|dunaidonas|-1|DUNAIDONAS
16. Rathglass|MARIANI|mariani|-1|MARIANI
