stone_id|reading_id|word_id|word|type
10000001|65000001|6|MAQI|formula
10000001|65000001|17|LUG|nomenclature
10000002|65000002|6|MAQI|formula
10000004|65000004|6|MAQI|formula
10000007|65000007|1|ANM|formula
10000007|65000007|6|MAQI|formula
10000007|65000007|46|CORRE|name
10000008|65000008|1|ANM|formula
10000008|65000008|3|CELI|formula
10000008|65000008|9|NIOTA|formula
10000008|65000008|10|CUNA|nomenclature
10000009|65000009|6|MAQI|formula
10000009|65000009|8|MUCOI|formula
10000009|65000009|41|BIR|name
10000010|65000010|10|CUNA|nomenclature
10000010|65000010|32|CUNAGUSSOS|name
10000010|65000010|87|CUNAGUSSOS|name
10000011|65000011|6|MAQI|formula
10000011|65000011|17|LUG|nomenclature
10000012|65000012|3|CELI|formula
10000012|65000012|9|NIOTA|formula
10000013|65000013|10|CUNA|nomenclature
10000015|65000015|6|MAQI|formula
10000015|65000015|8|MUCOI|formula
10000016|65000016|6|MAQI|formula
10000016|65000016|17|LUG|nomenclature
10000017|65000017|6|MAQI|formula
10000017|65000017|17|LUG|nomenclature
10000018|65000018|6|MAQI|formula
10000018|65000018|18|ERC|nomenclature
10000018|65000018|52|ERC|name
10000019|65000019|6|MAQI|formula
10000020|65000020|6|MAQI|formula
10000020|65000020|20|BRAN|nomenclature
10000022|65000022|8|MUCOI|formula
10000023|65000023|6|MAQI|formula
10000023|65000023|48|DALI|name
10000023|65000023|71|DALAGNI|name
10000024|65000024|6|MAQI|formula
10000024|65000024|54|MEDVVI|name
10000024|65000024|59|VRAICCI|name
10000025|65000025|5|KOI|formula
10000025|65000025|9|NIOTA|formula
10000025|65000025|17|LUG|nomenclature
10000025|65000025|23|TREN|nomenclature
10000026|65000026|6|MAQI|formula
10000026|65000026|16|VIR|nomenclature
10000026|65000026|33|VERGOSO|name
10000026|65000026|94|VERGOSO|name
10000027|65000027|6|MAQI|formula
10000027|65000027|49|DEGOS|name
10000028|65000028|3|CELI|formula
10000028|65000028|6|MAQI|formula
10000029|65000029|2|AVI|formula
10000030|65000030|6|MAQI|formula
10000030|65000030|18|ERC|nomenclature
10000030|65000030|22|IVA|nomenclature
10000030|65000030|52|ERC|name
10000031|65000031|6|MAQI|formula
10000031|65000031|8|MUCOI|formula
10000031|65000031|10|CUNA|nomenclature
10000031|65000031|41|BIR|name
10000032|65000032|6|MAQI|formula
10000033|65000033|3|CELI|formula
10000033|65000033|6|MAQI|formula
10000033|65000033|13|DOV|nomenclature
10000034|65000034|6|MAQI|formula
10000037|65000037|6|MAQI|formula
10000037|65000037|41|BIR|name
