item,label,site,geo,inscription
Q70892367,CIIC 35 (Ogham Stone Concept by RAS Macalister),Q85391735,POINT(-7.121389 52.5775),VIR...
Q70892369,CIIC 36 (Ogham Stone Concept by RAS Macalister),Q85391666,POINT(-7.360833 52.443889),SEVERRIT [MAQI MUCOI RO]TTAIS
Q70892376,CIIC 37 (Ogham Stone Concept by RAS Macalister),Q85391666,POINT(-7.360833 52.443889),DOVATUCI [A]VI TULOTANAGIA
Q70892378,CIIC 39 (Ogham Stone Concept by RAS Macalister),Q85391668,POINT(-6.476667 53.845),BRANOGENI
Q70892380,CIIC 40 (Ogham Stone Concept by RAS Macalister),Q85391671,POINT(-6.559167 53.673333),MAQI-CAIRATINI AVI INEQAGLAS
Q70892381,CIIC 41 (Ogham Stone Concept by RAS Macalister),Q85391673,POINT(-6.96 53.735833),COVAGNI MAQI MUCOI LUGUNI
Q70892382,CIIC 42 (Ogham Stone Concept by RAS Macalister),Q85391707,POINT(-6.720556 52.250556),n/a
Q70892386,CIIC 43 (Ogham Stone Concept by RAS Macalister),Q85391722,POINT(-6.6177 52.1173),LONAMNI AVI BARI
Q70892388,CIIC 44 (Ogham Stone Concept by RAS Macalister),Q85391675,POINT(-6.4275 52.215278),IARNI
Q70892390,CIIC 45 (Ogham Stone Concept by RAS Macalister),Q85391677,POINT(-6.530278 52.543611),n/a
Q70892393,CIIC 46 (Ogham Stone Concept by RAS Macalister),Q85391680,POINT(-6.887778 52.161389),SEDAN[I MAQQI CAT]TABBOTT AVVI DERCMASOC
Q70892399,CIIC 47 (Ogham Stone Concept by RAS Macalister),Q85391708,POINT(-6.063611 52.909167),NETA-CARI NETA CAGI
Q70892402,CIIC 48 (Ogham Stone Concept by RAS Macalister),Q85391710,POINT(-6.617778 53.016944),IAQINI KOI MAQI MUC ....
Q70892404,CIIC 49 (Ogham Stone Concept by RAS Macalister),Q85391683,POINT(-6.624444 52.966389),..CCI MAQ..INI..
Q70892406,CIIC 50 (Ogham Stone Concept by RAS Macalister),Q85391685,POINT(-6.608898 52.947012),VOTI
Q70892409,CIIC 51 (Ogham Stone Concept by RAS Macalister),Q85391711,POINT(-6.535 52.998056),MAQI NILI
Q70892410,CIIC 52 (Ogham Stone Concept by RAS Macalister),Q85393909,POINT(-9.063611 53.022222),n/a
Q70892412,CIIC 53 (Ogham Stone Concept by RAS Macalister),Q85394775,POINT(-8.9807 52.8463),ATUCMLU
Q70892414,CIIC 54 (Ogham Stone Concept by RAS Macalister),Q85393912,POINT(-8.447778 52.803333),[TH]URGRIM RISTI [KR]US THINA BENDACHT [AR] TOROQR[IM]
Q70892416,CIIC 55 (Ogham Stone Concept by RAS Macalister),Q85394096,POINT(-9.283611 51.733056),ANM SAINA MAQ OGALA MUCOI TEMOCA
Q70892424,CIIC 56 (Ogham Stone Concept by RAS Macalister),Q85393991,POINT(-8.599444 52.068056),SAGITTARI
Q70892427,CIIC 57 (Ogham Stone Concept by RAS Macalister),Q72006007,POINT(-8.601944 52.081111),TRENU MAQI MUCOI QRITTI
Q70892430,CIIC 58 (Ogham Stone Concept by RAS Macalister),Q72006007,POINT(-8.601944 52.081111),CATTUBUTTAS MAQ[...
Q70892431,CIIC 59 (Ogham Stone Concept by RAS Macalister),Q85393914,POINT(-8.453333 52.010278),]UIVAIBES ]RTAGNI
Q70892434,CIIC 60 (Ogham Stone Concept by RAS Macalister),Q85393914,POINT(-8.453333 52.010278),MAILAGN(I)
Q70892436,CIIC 62 (Ogham Stone Concept by RAS Macalister),Q85393918,POINT(-8.452778 51.980833),DOCRANORI
Q70892438,CIIC 64 (Ogham Stone Concept by RAS Macalister),Q85393995,POINT(-8.175556 51.969444),LODIMONI
Q70892442,CIIC 65 (Ogham Stone Concept by RAS Macalister),Q85393922,POINT(-8.246111 52.005278),LOGA MAQI SDANBI
Q70892444,CIIC 66 (Ogham Stone Concept by RAS Macalister),Q85393998,POINT(-9.935278 51.712222),MAQI-DECCEDDAS AVI TURANIAS
Q70892450,CIIC 67 (Ogham Stone Concept by RAS Macalister),Q85394098,POINT(-9.981667 51.628889),CARI
Q70892452,CIIC 68 (Ogham Stone Concept by RAS Macalister),Q85394111,POINT(-9.711944 51.7275),LUGUQRIT [.........] LONAS
Q70892453,CIIC 69 (Ogham Stone Concept by RAS Macalister),Q85394002,POINT(-8.846944 51.678889),GIRAGNI
Q70892457,CIIC 70 (Ogham Stone Concept by RAS Macalister),Q85394002,POINT(-8.846944 51.678889),CUNAGUSOS MAQi MUCOI VIRAGNI
Q70892459,CIIC 71 (Ogham Stone Concept by RAS Macalister),Q85394002,POINT(-8.846944 51.678889),COIMAGNI MAQI MOCOI GA...
Q70892460,CIIC 72 (Ogham Stone Concept by RAS Macalister),Q85394004,POINT(-9.088056 51.770833),UBEDABO ALTASI
Q70892463,CIIC 73 (Ogham Stone Concept by RAS Macalister),Q85393926,POINT(-8.956111 51.688333),DOMNGEN
Q70892466,CIIC 74 (Ogham Stone Concept by RAS Macalister),Q85393926,POINT(-8.956111 51.688333),CONANN M[AQI] S...
Q70892468,CIIC 75 (Ogham Stone Concept by RAS Macalister),Q85393928,POINT(-9.185833 51.759444),ANM CASONI [MAQ]I RODAGNI
