"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"|"st_astext"
"10. Breastagh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390394"|"Q178626"|"LGG SDLENGESCAD MAQ CORRBRI MAQ AMMLLONGITT"|"10. Breastagh"|"POINT(-9.248056 54.248611)"
"100. Ballyhank IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"AB ULCCAGNI"|"100. Ballyhank IV"|"POINT(-8.608333 51.838611)"
"101. Ballyhank V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"MAQI-ESE/A MAQI DOMANE/QI"|"101. Ballyhank V"|"POINT(-8.608333 51.838611)"
"102. Ballyhank VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"DILOGONN"|"102. Ballyhank VI"|"POINT(-8.608333 51.838611)"
"1083. Rathkenny I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"COMMAGGAGNI MUCOI/ ISAMMNN"|"1083. Rathkenny I"|"POINT(-9.72028 52.33167)"
"1084. Rathkenny II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"OLISSEGVOG"|"1084. Rathkenny II"|"POINT(-9.72028 52.33167)"
"11. Drummin I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390417"|"Q179437"|"CUNOVATO"|"11. Drummin I"|"POINT(-8.362222 53.84)"
"118. Monataggart I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"VEQREQ MOQOI GLUNLEGGET"|"118. Monataggart I"|"POINT(-8.779444 51.974444)"
"119. Monataggart II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"DALAGNI MAQI DALI"|"119. Monataggart II"|"POINT(-8.779444 51.974444)"
"12. Rathcroghan I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390711"|"Q179437"|"VRAICCI/ MAQI MEDVVI"|"12. Rathcroghan I"|"POINT(-8.297778 53.8075)"
"120. Monataggart III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394081"|"Q162475"|"BROINIENAS KOI NETTA-TTRENALUGOS"|"120. Monataggart III"|"POINT(-8.779444 51.974444)"
"13. Rathcroghan II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390711"|"Q179437"|"MAQ REGAS MUCOI"|"13. Rathcroghan II"|"POINT(-8.297778 53.8075)"
"136. Ardfert I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394024"|"Q184469"|"CTAN/QLOG"|"136. Ardfert I"|"POINT(-9.772778 52.328889)"
"141. Aglish I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393955"|"Q184469"|"MAQI MAQI/OGGODIKA"|"141. Aglish I"|"POINT(-10.138056 52.133056)"
"142. Aglish II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393955"|"Q184469"|"CELI AVI VUD?"|"142. Aglish II"|"POINT(-10.138056 52.133056)"
