item,label,geo
Q85396849,Drumlohan (Ogham Site),POINT(-7.468056 52.163056)
Q85393952,Aghacarrible (Ogham Site),POINT(-10.176111 52.129444)
Q85390391,Aghaleague (Ogham Site),POINT(-9.330833 54.260278)
Q85392826,Aghascrebagh (Ogham Site),POINT(-7.047778 54.699444)
Q85393955,Aglish (Ogham Site),POINT(-10.138056 52.133056)
Q85394002,Ahalisky (Ogham Site),POINT(-8.846944 51.678889)
Q85394130,Annagap (Ogham Site),POINT(-10.063056 52.159167)
Q106628059,Annascaul (Ogham Site),POINT(-10.061076 52.152143)
Q85396815,Ardcanaght (Ogham Site),POINT(-9.733611 52.165556)
Q85394024,Ardfert (Ogham Site),POINT(-9.772778 52.328889)
Q85396905,Ardocheasty (Ogham Site),POINT(-7.729167 51.944167)
Q85394026,Ardrinane (Ogham Site),POINT(-10.049167 52.143056)
Q85396974,Ardwanig (Ogham Site),POINT(-9.662778 52.147778)
Q85394028,Arraglen (Ogham Site),POINT(-10.236944 52.2675)
Q85394004,Aultagh (Ogham Site),POINT(-9.088056 51.770833)
Q85393961,Ballineesteenig (Ogham Site),POINT(-10.2075 52.140556)
Q85396837,Ballingarry (Ogham Site),POINT(-8.377222 52.381944)
Q85394310,Ballinrannig (Ogham Site),POINT(-10.386111 52.176111)
Q85393964,Ballintaggart (Ogham Site),POINT(-10.031111 52.1725)
Q85395620,Ballintermon (Ogham Site),POINT(-10.031389 52.155278)
Q85395552,Ballinvoher (Ogham Site),POINT(-10.159444 52.186944)
Q85391707,Balloughton (Ogham Site),POINT(-6.720556 52.250556)
Q85395515,Ballyandreen (Ogham Site),POINT(-10.0375 52.165833)
Q106626868,Ballybarrack (Ogham Site),POINT(-6.43833 53.98278)
Q69378747,Ballyboodan (Ogham Site),POINT(-7.231111 52.471944)
Q106628064,Ballybroman (Ogham Site),POINT(-9.746467 52.32801)
Q85395517,Ballyeightragh (Ogham Site),POINT(-10.323333 52.160556)
Q85396834,Ballyelan (Ogham Site),POINT(-8.823889 52.4575)
Q85394010,Ballyhank (Ogham Site),POINT(-8.608333 51.838611)
Q85394270,Ballyknock (Ogham Site),POINT(-8.071111 52.026944)
Q85395592,Ballymorereagh (Ogham Site),POINT(-10.3275 52.151389)
Q85393914,Ballynabortagh (Ogham Site),POINT(-8.453333 52.010278)
Q85395518,Ballynahunt (Ogham Site),POINT(-10.029722 52.1875)
Q85396916,Ballyquin (Ogham Site),POINT(-7.385 52.311111)
Q85391701,Ballyspellan (Ogham Site),POINT(-7.524444 52.76)
Q85396997,Ballyvellon (Ogham Site),POINT(-7.226667 52.185)
Q85396847,Ballyvoony (Ogham Site),POINT(-7.439167 52.133333)
Q85395519,Ballywiheen / Cahernagat (Ogham Site),POINT(-10.400833 52.155833)
Q85391683,Baltinglass (Ogham Site),POINT(-6.624444 52.966389)
Q85391668,Barnaveddoge (Ogham Site),POINT(-6.476667 53.845)
Q69378412,Barrahaurin (Ogham Site),POINT(-8.818333 52.015833)
Q85396897,Bawnaglanna (Ogham Site),POINT(-9.438889 52.1425)
Q106628070,Bennettsbridge (Ogham Site),
Q85393915,Bishop's Island (Ogham Site),POINT(-8.360556 52.008611)
Q85391685,Boleycarrigeen (Ogham Site),POINT(-6.608898 52.947012)
Q85396931,Brackhill / Brakel (Ogham Site),POINT(-9.687778 52.161944)
Q85395554,Brackloon (Ogham Site),POINT(-10.036389 52.146944)
Q85395555,Brandon Mountain (Ogham Site),POINT(-10.159444 52.186944)
Q85390394,Breastagh (Ogham Site),POINT(-9.248056 54.248611)
Q106628062,Brookhill (Ogham Site),POINT(-9.736282 52.067482)
Q106626869,Bunkilla (Ogham Site),POINT(-8.69389 51.97722)
Q85393931,Burgatia / Teampuleen Fachtna (Ogham Site),POINT(-9.0125 51.577778)
Q85393991,Burnfort (Ogham Site),POINT(-8.599444 52.068056)
Q85395594,Burnham East (Ogham Site),POINT(-10.306944 52.125833)
Q85395556,Camp Ogham Site (Ogham Site),POINT(-9.910278 52.215)
Q85395576,Canburrin (Ogham Site),POINT(-10.166667 51.921111)
Q85393926,Carhoovauler (Ogham Site),POINT(-8.956111 51.688333)
Q85392806,Carncome (Ogham Site),POINT(-6.183333 54.803056)
Q85393943,Carrigagulla (Ogham Site),POINT(-8.909167 52.0075)
Q106628035,Castlegrace (Ogham Site),POINT(-6.74288 52.762953)
Q85391673,Castlekeeran (Ogham Site),POINT(-6.96 53.735833)
Q85391708,Castletimon (Ogham Site),POINT(-6.063611 52.909167)
Q106626870,Church Island (Ogham Site),POINT(-10.2832 51.9376)
Q85391656,Churchclara (Ogham Site),POINT(-7.150556 52.651389)
Q106628058,Churchfield (Ogham Site),POINT(-10.170106 52.140298)
Q106626871,Cloghabrody (Ogham Site),POINT(-7.13778 52.53472)
Q85395549,Cloghanecarhan (Ogham Site),POINT(-10.176944 51.894167)
Q106628049,Cloheena (Ogham Site),POINT(-9.134153 51.904032)
Q106628033,Clonmacnoise (Ogham Site),POINT(-7.985726 53.326779)
Q85391717,Clonmore (Ogham Site),POINT(-6.573611 52.826389)
Q85390407,Cloonmorris (Ogham Site),POINT(-7.870556 53.816389)
Q85395548,Cockhill / Kilnaughtin (Ogham Site),POINT(-9.421389 52.566667)
Q85391762,Colbinstown / Killeen Cormac (Ogham Site),POINT(-6.756389 53.031111)
Q85395579,Cool East / Killeenadreena (Ogham Site),POINT(-10.365556 51.912222)
Q85393945,Cooldorragha (Ogham Site),POINT(-9.026388888 51.841944444)
Q85394077,Coolineagh (Ogham Site),POINT(-8.823889 51.955833)
Q69379704,Coolmagort (Ogham Site),POINT(-9.642778 52.061111)
Q85394074,Coolowen (Ogham Site),POINT(-8.539722 51.957778)
Q85394096,Coomleagh East / Coomlia (Ogham Site),POINT(-9.283611 51.733056)
Q85396820,Corkaboy (Ogham Site),POINT(-9.771944 52.165833)
Q85390388,Corrower (Ogham Site),POINT(-9.083889 54.074444)
Q85391675,Cotts (Ogham Site),POINT(-6.4275 52.215278)
Q85395557,Coumeenoole North / Dunmore Head (Ogham Site),POINT(-10.458333 52.111944)
Q106626872,Coumlanders (Ogham Site),POINT(-10.175484 52.125339)
Q85396823,Crag (Ogham Site),POINT(-9.5325 52.191667)
Q85396978,Crehanagh South (Ogham Site),POINT(-7.391111 52.330556)
Q85393948,Crinnaloo North (Ogham Site),POINT(-8.928056 52.066667)
Q106628048,Crushterra (Ogham Site),POINT(-9.132804 51.792584)
Q85395570,Curraghmore East (Ogham Site),POINT(-9.621667 52.208611)
Q85396866,Curraghnagarraha (Ogham Site),POINT(-7.379167 52.324167)
Q85396845,Cush of Grange (Ogham Site),POINT(-7.755833 51.988333)
Q85395573,Darrynane Beg (Ogham Site),POINT(-10.122222 51.773056)
Q85393938,Deelish (Ogham Site),POINT(-8.887778 51.940833)
Q85395602,Derrygarrane South (Ogham Site),POINT(-9.746667 51.91)
Q85395535,Derrygarriv (Ogham Site),POINT(-9.665 51.974444)
