item,label,desc,geo,logainm,osm
Q69378412,Barrahaurin (Ogham Site),"Ogham Site, Co. Cork",Point(-8.818333 52.015833),11454,6163380
Q69378747,Ballyboodan (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.231111 52.471944),,5265769
Q69379704,Coolmagort (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.642778 52.061111),23373,6271467
Q69383268,Knockshanawee (Ogham Site),"Ogham Site, Co. Cork",Point(-8.794722 51.868056),8237,6171751
Q69385525,Garranes (Ogham Site),"Ogham Site, Co. Cork",Point(-8.761667 51.816389),8299,6168494
Q72006007,Greenhill (Ogham Site),"Ogham Site, Co. Cork",Point(-8.601944 52.081111),,5860011
Q72006009,Kilmannin (Ogham Site),"Ogham Site, Co. Mayo",Point(-8.765556 53.773611),,5745598
Q85390377,Inchagoill (Ogham Site),"Ogham Site, Co. Galway",Point(-9.316944 53.485556),20677,3506016
Q85390382,Island (Ogham Site),"Ogham Site, Co. Mayo",Point(-8.805 53.781667),,5745597
Q85390384,Rusheens East (Ogham Site),"Ogham Site, Co. Mayo",Point(-8.665278 53.896111),36691,5652586
Q85390388,Corrower (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.083889 54.074444),34668,5714333
Q85390391,Aghaleague (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.330833 54.260278),34228,5745317
Q85390394,Breastagh (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.248056 54.248611),34606,4250662
Q85390407,Cloonmorris (Ogham Site),"Ogham Site, Co. Leitrim",Point(-7.870556 53.816389),,
Q85390409,Tullaghaun (Ogham Site),"Ogham Site, Co. Mayo",Point(-8.709444 53.728611),36199,5740104
Q85390417,Drummin (Ogham Site),"Ogham Site, Co. Roscommon",Point(-8.362222 53.84),,4789213
Q85390429,Dooghmakeon (Ogham Site),"Ogham Site, Co. Mayo",Point(-9.87 53.746389),37144,6138946
Q85390711,Toberrory (Ogham Site),"Ogham Site, Co. Roscommon",Point(-8.297778 53.8075),43913,5187206
Q85391648,Rathglass (Ogham Site),"Ogham Site, Co. Carlow",Point(-6.716667 52.781944),3546,2247228
Q85391650,Tuckamine (Ogham Site),"Ogham Site, Co. Carlow",Point(-6.727222 52.848056),3102,2203853
Q85391654,Donaghmore (Ogham Site),"Ogham Site, Co. Kildare",Point(-6.551111 53.375278),25412,4547533
