item,c1,c2
Q106680560,Q169923,Q169923
Q106680563,Q107397,Q107397
Q106680564,Q178626,Q178626
Q106680565,Q178626,Q178626
Q106680566,Q178626,Q178626
Q106680567,Q178626,Q178626
Q106680568,Q178626,Q178626
Q106680569,Q178626,Q178626
Q106680570,Q178626,Q178626
Q106680571,Q178626,Q178626
Q106680573,Q179437,Q179437
Q106680575,Q179437,Q179437
Q106680576,Q179437,Q179437
Q106680577,Q181882,Q181882
Q106680578,Q181882,Q181882
Q106680579,Q181882,Q181882
Q106680580,Q181882,Q181882
Q106680581,Q4169280,Q4169280
Q106680582,Q173332,Q173332
Q106680583,Q173332,Q173332
Q106680584,Q173332,Q173332
Q106680585,Q173332,Q173332
Q106680586,Q173332,Q173332
Q106680587,Q173332,Q173332
Q106680588,Q173332,Q173332
Q106680589,Q173332,Q173332
Q106680590,Q180231,Q180231
Q106680591,Q180231,Q180231
Q106680592,Q180231,Q180231
Q106680593,Q180231,Q180231
Q106680594,Q180231,Q180231
Q106680595,Q180231,Q180231
Q106680596,Q180231,Q180231
Q106680597,Q180231,Q180231
Q106680600,Q180231,Q180231
Q106680601,Q180231,Q180231
Q106680602,Q180231,Q180231
Q106680603,Q180231,Q180231
Q106680604,Q183539,Q183539
Q106680605,Q183544,Q183544
Q106680606,Q183544,Q183544
