item,itemLabel,itemDescription,country,countryLabel,oghamsite,oghamsiteLabel,geo,so
http://www.wikidata.org/entity/Q70892272,CIIC 1,Ogam Stein CIIC 1,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85390377,Inchagoill (Ogham Site),Point(-9.316944 53.485556),1
http://www.wikidata.org/entity/Q70892302,CIIC 10,Ogam Stein CIIC 10,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85390394,Breastagh (Ogham Site),Point(-9.248056 54.248611),10
http://www.wikidata.org/entity/Q70892504,CIIC 100,Ogam Stein CIIC 100,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394010,Ballyhank,Point(-8.608333 51.838611),100
http://www.wikidata.org/entity/Q70892506,CIIC 101,Ogam Stein CIIC 101,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394010,Ballyhank,Point(-8.608333 51.838611),101
http://www.wikidata.org/entity/Q70892509,CIIC 102,Ogam Stein CIIC 102,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394010,Ballyhank,Point(-8.608333 51.838611),102
http://www.wikidata.org/entity/Q69377850,CIIC 103,Ogam Stein CIIC 103,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69378412,Barrahaurin (Ogham Site),Point(-8.818333 52.015833),1
http://www.wikidata.org/entity/Q69377850,CIIC 103,Ogam Stein CIIC 103,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69378412,Barrahaurin (Ogham Site),Point(-8.818333 52.015833),103
http://www.wikidata.org/entity/Q70892510,CIIC 104,Ogam Stein CIIC 104,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394077,Coolineagh,Point(-8.823889 51.955833),104
http://www.wikidata.org/entity/Q70885728,CIIC 105,Ogam Stein CIIC 105,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394077,Coolineagh,Point(-8.823889 51.955833),23
http://www.wikidata.org/entity/Q70885728,CIIC 105,Ogam Stein CIIC 105,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394077,Coolineagh,Point(-8.823889 51.955833),105
http://www.wikidata.org/entity/Q70892513,CIIC 106,Ogam Stein CIIC 106,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85393938,Deelish (Ogham Site),Point(-8.887778 51.940833),106
http://www.wikidata.org/entity/Q70885727,CIIC 107,Ogam Stein CIIC 107,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394126,Glenaglogh North,Point(-8.866111 51.991111),107
http://www.wikidata.org/entity/Q70885727,CIIC 107,Ogam Stein CIIC 107,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394126,Glenaglogh North,Point(-8.866111 51.991111),22
http://www.wikidata.org/entity/Q70892516,CIIC 108,Ogam Stein CIIC 108,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394079,Kilcullen South,Point(-8.81 51.9875),108
http://www.wikidata.org/entity/Q70892518,CIIC 109,Ogam Stein CIIC 109,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85394014,Kilmartin Lower,Point(-8.789444 51.985556),109
http://www.wikidata.org/entity/Q70892303,CIIC 11,Ogam Stein CIIC 11,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85390417,Drummin (Ogham Site),Point(-8.362222 53.84),11
http://www.wikidata.org/entity/Q70892523,CIIC 110,Ogam Stein CIIC 110,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85393940,Knockrour (Ogham Site),Point(-8.838889 51.9575),110
http://www.wikidata.org/entity/Q70892526,CIIC 111,Ogam Stein CIIC 111,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q85393940,Knockrour (Ogham Site),Point(-8.838889 51.9575),111
http://www.wikidata.org/entity/Q70885739,CIIC 112,Ogam Stein CIIC 112,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),112
http://www.wikidata.org/entity/Q70885739,CIIC 112,Ogam Stein CIIC 112,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),27
http://www.wikidata.org/entity/Q70382440,CIIC 113,Ogam Stein CIIC 113,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),5
http://www.wikidata.org/entity/Q70382440,CIIC 113,Ogam Stein CIIC 113,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),113
http://www.wikidata.org/entity/Q70885736,CIIC 114,Ogam Stein CIIC 114,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),26
http://www.wikidata.org/entity/Q70885736,CIIC 114,Ogam Stein CIIC 114,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),114
http://www.wikidata.org/entity/Q69383434,CIIC 115,Ogam Stein CIIC 115,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),2
http://www.wikidata.org/entity/Q69383434,CIIC 115,Ogam Stein CIIC 115,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),115
http://www.wikidata.org/entity/Q70382438,CIIC 116,Ogam Stein CIIC 116,http://www.wikidata.org/entity/Q27,Irland,http://www.wikidata.org/entity/Q69383268,Knockshanawee (Ogham Site),Point(-8.794722 51.868056),6
