item	label	geo
Q67510124	CIIC 38	POINT(-7.231111 52.471944)
Q67978531	CIIC 203	POINT(-9.633466 52.060741)
Q69377850	CIIC 103	POINT(-8.818333 52.015833)
Q69383434	CIIC 115	POINT(-8.794722 51.868056)
Q69385241	CIIC 117	POINT(-8.794722 51.868056)
Q69385424	CIIC 81	POINT(-8.761667 51.816389)
Q70382438	CIIC 116	POINT(-8.794722 51.868056)
Q70382440	CIIC 113	POINT(-8.794722 51.868056)
Q70885690	CIIC 89	POINT(-8.071111 52.026944)
Q70885692	CIIC 93	POINT(-8.071111 52.026944)
Q70885695	CIIC 85	POINT(-8.071111 52.026944)
Q70885697	CIIC 96	POINT(-8.071111 52.026944)
Q70885698	CIIC 87	POINT(-8.071111 52.026944)
Q70885701	CIIC 262	POINT(-7.998889 52.199444)
Q70885703	CIIC 95	POINT(-8.071111 52.026944)
Q70885704	CIIC 83	POINT(-8.071111 52.026944)
Q70885706	CIIC 94	POINT(-8.071111 52.026944)
Q70885712	CIIC 90	POINT(-8.071111 52.026944)
Q70885713	CIIC 92	POINT(-8.071111 52.026944)
Q70885716	CIIC 86	POINT(-8.071111 52.026944)
Q70885720	CIIC 88	POINT(-8.071111 52.026944)
Q70885722	CIIC 127	POINT(-8.757222 51.946389)
Q70885723	CIIC 63	POINT(-8.175556 51.969444)
Q70885727	CIIC 107	POINT(-8.866111 51.991111)
Q70885728	CIIC 105	POINT(-8.823889 51.955833)
Q70885730	CIIC 61	POINT(-8.360556 52.008611)
Q70885734	CIIC 128	POINT(-8.909167 52.0075)
Q70885736	CIIC 114	POINT(-8.794722 51.868056)
Q70885739	CIIC 112	POINT(-8.794722 51.868056)
Q70892272	CIIC 1	POINT(-9.316944 53.485556)
Q70892276	CIIC 2	POINT(-7.870556 53.816389)
Q70892278	CIIC 3	POINT(-8.805 53.781667)
Q70892286	CIIC 6	POINT(-8.709444 53.728611)
Q70892288	CIIC 8	POINT(-9.87 53.746389)
Q70892292	CIIC 9	POINT(-9.330833 54.260278)
Q70892302	CIIC 10	POINT(-9.248056 54.248611)
Q70892303	CIIC 11	POINT(-8.362222 53.84)
Q70892306	CIIC 12	POINT(-8.297778 53.8075)
Q70892312	CIIC 15	POINT(-6.573611 52.826389)
Q70892316	CIIC 17	POINT(-6.727222 52.848056)
Q70892318	CIIC 18	POINT(-6.1525 53.419722)
Q70892328	CIIC 20	POINT(-6.756389 53.031111)
Q70892342	CIIC 27	POINT(-7.524444 52.76)
Q70892353	CIIC 28	POINT(-7.150556 52.651389)
Q70892354	CIIC 29	POINT(-7.172222 52.617778)
Q70892357	CIIC 30	POINT(-7.172222 52.617778)
Q70892359	CIIC 31	POINT(-7.036389 52.518889)
Q70892361	CIIC 32	POINT(-7.066111 52.6325)
Q70892363	CIIC 33	POINT(-6.958056 52.5425)
Q70892365	CIIC 34	POINT(-7.158611 52.538611)
Q70892367	CIIC 35	POINT(-7.121389 52.5775)
Q70892369	CIIC 36	POINT(-7.360833 52.443889)
Q70892376	CIIC 37	POINT(-7.360833 52.443889)
Q70892378	CIIC 39	POINT(-6.476667 53.845)
Q70892380	CIIC 40	POINT(-6.559167 53.673333)
Q70892381	CIIC 41	POINT(-6.96 53.735833)
Q70892382	CIIC 42	POINT(-6.720556 52.250556)
Q70892386	CIIC 43	POINT(-6.6177 52.1173)
Q70892388	CIIC 44	POINT(-6.4275 52.215278)
Q70892390	CIIC 45	POINT(-6.530278 52.543611)
Q70892393	CIIC 46	POINT(-6.887778 52.161389)
Q70892399	CIIC 47	POINT(-6.063611 52.909167)
Q70892402	CIIC 48	POINT(-6.617778 53.016944)
Q70892404	CIIC 49	POINT(-6.624444 52.966389)
Q70892406	CIIC 50	POINT(-6.608889 53.946944)
Q70892409	CIIC 51	POINT(-6.535 52.998056)
Q70892410	CIIC 52	POINT(-9.063611 53.022222)
Q70892412	CIIC 53	POINT(-8.9807 52.8463)
Q70892414	CIIC 54	POINT(-8.447778 52.803333)
Q70892416	CIIC 55	POINT(-9.283611 51.733056)
Q70892424	CIIC 56	POINT(-8.599444 52.068056)
Q70892427	CIIC 57	POINT(-8.601944 52.081111)
Q70892430	CIIC 58	POINT(-8.601944 52.081111)
Q70892431	CIIC 59	POINT(-8.453333 52.010278)
Q70892434	CIIC 60	POINT(-8.453333 52.010278)
Q70892436	CIIC 62	POINT(-8.452778 51.980833)
Q70892438	CIIC 64	POINT(-8.175556 51.969444)
Q70892442	CIIC 65	POINT(-8.246111 52.005278)
Q70892444	CIIC 66	POINT(-9.935278 51.712222)
Q70892450	CIIC 67	POINT(-9.981667 51.628889)
Q70892452	CIIC 68	POINT(-9.711944 51.7275)
Q70892453	CIIC 69	POINT(-8.846944 51.678889)
Q70892457	CIIC 70	POINT(-8.846944 51.678889)
Q70892459	CIIC 71	POINT(-8.846944 51.678889)
