item,label,desc,country,,,
Q67510124,CIIC 38,Ogam Stein CIIC 38,Q27,Q67510124,Kilkenny,Q180231
Q67978531,CIIC 203,Ogam Stein CIIC 203,Q27,Q67978531,Kerry,Q184469
Q69377850,CIIC 103,Ogam Stein CIIC 103,Q27,Q69377850,Cork,Q162475
Q69383434,CIIC 115,Ogam Stein CIIC 115,Q27,Q69383434,Cork,Q162475
Q69385241,CIIC 117,Ogam Stein CIIC 117,Q27,Q69385241,Cork,Q162475
Q69385424,CIIC 81,Ogam Stein CIIC 81,Q27,Q69385424,Cork,Q162475
Q70382438,CIIC 116,Ogam Stein CIIC 116,Q27,Q70382438,Cork,Q162475
Q70382440,CIIC 113,Ogam Stein CIIC 113,Q27,Q70382440,Cork,Q162475
Q70885690,CIIC 89,Ogam Stein CIIC 89,Q27,Q70885690,Cork,Q162475
Q70885692,CIIC 93,Ogam Stein CIIC 93,Q27,Q70885692,Cork,Q162475
Q70885695,CIIC 85,Ogam Stein CIIC 85,Q27,Q70885695,Cork,Q162475
Q70885697,CIIC 96,Ogam Stein CIIC 96,Q27,Q70885697,Cork,Q162475
Q70885698,CIIC 87,Ogam Stein CIIC 87,Q27,Q70885698,Cork,Q162475
Q70885701,CIIC 262,Ogam Stein CIIC 262,Q27,Q70885701,Waterford,Q184594
Q70885703,CIIC 95,Ogam Stein CIIC 95,Q27,Q70885703,Cork,Q162475
Q70885704,CIIC 83,Ogam Stein CIIC 83,Q27,Q70885704,Cork,Q162475
Q70885706,CIIC 94,Ogam Stein CIIC 94,Q27,Q70885706,Cork,Q162475
Q70885712,CIIC 90,Ogam Stein CIIC 90,Q27,Q70885712,Cork,Q162475
Q70885713,CIIC 92,Ogam Stein CIIC 92,Q27,Q70885713,Cork,Q162475
Q70885716,CIIC 86,Ogam Stein CIIC 86,Q27,Q70885716,Cork,Q162475
Q70885720,CIIC 88,Ogam Stein CIIC 88,Q27,Q70885720,Cork,Q162475
Q70885722,CIIC 127,Ogam Stein CIIC 127,Q27,Q70885722,Cork,Q162475
Q70885723,CIIC 63,Ogam Stein CIIC 63,Q27,Q70885723,Cork,Q162475
Q70885727,CIIC 107,Ogam Stein CIIC 107,Q27,Q70885727,Cork,Q162475
Q70885728,CIIC 105,Ogam Stein CIIC 105,Q27,Q70885728,Cork,Q162475
Q70885730,CIIC 61,Ogam Stein CIIC 61,Q27,Q70885730,Cork,Q162475
Q70885734,CIIC 128,Ogam Stein CIIC 128,Q27,Q70885734,Cork,Q162475
Q70885736,CIIC 114,Ogam Stein CIIC 114,Q27,Q70885736,Cork,Q162475
Q70885739,CIIC 112,Ogam Stein CIIC 112,Q27,Q70885739,Cork,Q162475
Q70892272,CIIC 1,Ogam Stein CIIC 1,Q27,Q70892272,Galway,Q169923
Q70892276,CIIC 2,Ogam Stein CIIC 2,Q27,Q70892276,Leitrim,Q107397
Q70892278,CIIC 3,Ogam Stein CIIC 3,Q27,Q70892278,Mayo,Q178626
Q70892286,CIIC 6,Ogam Stein CIIC 6,Q27,Q70892286,Mayo,Q178626
Q70892288,CIIC 8,Ogam Stein CIIC 8,Q27,Q70892288,Mayo,Q178626
Q70892292,CIIC 9,Ogam Stein CIIC 9,Q27,Q70892292,Mayo,Q178626
Q70892302,CIIC 10,Ogam Stein CIIC 10,Q27,Q70892302,Mayo,Q178626
Q70892303,CIIC 11,Ogam Stein CIIC 11,Q27,Q70892303,Roscommon,Q179437
Q70892306,CIIC 12,Ogam Stein CIIC 12,Q27,Q70892306,Roscommon,Q179437
Q70892312,CIIC 15,Ogam Stein CIIC 15,Q27,Q70892312,Carlow,Q181882
Q70892316,CIIC 17,Ogam Stein CIIC 17,Q27,Q70892316,Carlow,Q181882
Q70892318,CIIC 18,Ogam Stein CIIC 18,Q27,Q70892318,Dublin,Q4169280
Q70892328,CIIC 20,Ogam Stein CIIC 20,Q27,Q70892328,Kildare,Q173332
Q70892342,CIIC 27,Ogam Stein CIIC 27,Q27,Q70892342,Kilkenny,Q180231
Q70892353,CIIC 28,Ogam Stein CIIC 28,Q27,Q70892353,Kilkenny,Q180231
Q70892354,CIIC 29,Ogam Stein CIIC 29,Q27,Q70892354,Kilkenny,Q180231
Q70892357,CIIC 30,Ogam Stein CIIC 30,Q27,Q70892357,Kilkenny,Q180231
Q70892359,CIIC 31,Ogam Stein CIIC 31,Q27,Q70892359,Kilkenny,Q180231
Q70892361,CIIC 32,Ogam Stein CIIC 32,Q27,Q70892361,Kilkenny,Q180231
Q70892363,CIIC 33,Ogam Stein CIIC 33,Q27,Q70892363,Kilkenny,Q180231
Q70892365,CIIC 34,Ogam Stein CIIC 34,Q27,Q70892365,Kilkenny,Q180231
Q70892367,CIIC 35,Ogam Stein CIIC 35,Q27,Q70892367,Kilkenny,Q180231
Q70892369,CIIC 36,Ogam Stein CIIC 36,Q27,Q70892369,Kilkenny,Q180231
Q70892376,CIIC 37,Ogam Stein CIIC 37,Q27,Q70892376,Kilkenny,Q180231
Q70892378,CIIC 39,Ogam Stein CIIC 39,Q27,Q70892378,Louth,Q183539
Q70892380,CIIC 40,Ogam Stein CIIC 40,Q27,Q70892380,Meath,Q183544
Q70892381,CIIC 41,Ogam Stein CIIC 41,Q27,Q70892381,Meath,Q183544
Q70892382,CIIC 42,Ogam Stein CIIC 42,Q27,Q70892382,Wexford,Q184599
Q70892386,CIIC 43,Ogam Stein CIIC 43,Q27,Q70892386,Wexford,Q184599
Q70892388,CIIC 44,Ogam Stein CIIC 44,Q27,Q70892388,Wexford,Q184599
Q70892390,CIIC 45,Ogam Stein CIIC 45,Q27,Q70892390,Wexford,Q184599
